Name,Overall,Value,Role,Starter_Ref,Position,Meta_BackupName,Meta_Club,Meta_Value,Meta_Discount,Meta_Gap,Meta_Similarity,Attribute,Rating,Path_ID
C. Immobile,87,52000000.0,Backup,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,StandingTackle,33.0,4
Cristiano Ronaldo,94,77000000.0,Starter,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,Strength,79.0,5
C. Immobile,87,52000000.0,Backup,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,Strength,76.0,5
Cristiano Ronaldo,94,77000000.0,Starter,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,SprintSpeed,91.0,6
C. Immobile,87,52000000.0,Backup,Cristiano Ronaldo,ST,C. Immobile,Lazio,52000000.0,32.0,-7,-2.5,SprintSpeed,85.0,6
Neymar Jr,92,118500000.0,Starter,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,SprintSpeed,90.0,0
L. Sané,86,61000000.0,Backup,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,SprintSpeed,96.0,0
Neymar Jr,92,118500000.0,Starter,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,Finishing,87.0,1
L. Sané,86,61000000.0,Backup,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,Finishing,81.0,1
Neymar Jr,92,118500000.0,Starter,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,ShortPassing,84.0,2
L. Sané,86,61000000.0,Backup,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,ShortPassing,79.0,2
Neymar Jr,92,118500000.0,Starter,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,Dribbling,96.0,3
L. Sané,86,61000000.0,Backup,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,Dribbling,88.0,3
Neymar Jr,92,118500000.0,Starter,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,StandingTackle,24.0,4
L. Sané,86,61000000.0,Backup,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,StandingTackle,32.0,4
Neymar Jr,92,118500000.0,Starter,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,Strength,49.0,5
L. Sané,86,61000000.0,Backup,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,Strength,70.0,5
Neymar Jr,92,118500000.0,Starter,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,SprintSpeed,90.0,6
L. Sané,86,61000000.0,Backup,Neymar Jr,LW,L. Sané,Manchester City,61000000.0,49.0,-6,28.0,SprintSpeed,96.0,6
De Gea,91,72000000.0,Starter,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,SprintSpeed,58.0,0
J. Pickford,83,25000000.0,Backup,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,SprintSpeed,44.0,0
De Gea,91,72000000.0,Starter,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,Finishing,13.0,1
J. Pickford,83,25000000.0,Backup,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,Finishing,19.0,1
De Gea,91,72000000.0,Starter,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,ShortPassing,50.0,2
J. Pickford,83,25000000.0,Backup,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,ShortPassing,55.0,2
De Gea,91,72000000.0,Starter,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,Dribbling,18.0,3
J. Pickford,83,25000000.0,Backup,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,Dribbling,14.0,3
De Gea,91,72000000.0,Starter,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,StandingTackle,21.0,4
J. Pickford,83,25000000.0,Backup,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,StandingTackle,20.0,4
De Gea,91,72000000.0,Starter,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,Strength,64.0,5
J. Pickford,83,25000000.0,Backup,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,Strength,70.0,5
De Gea,91,72000000.0,Starter,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,SprintSpeed,58.0,6
J. Pickford,83,25000000.0,Backup,De Gea,GK,J. Pickford,Everton,25000000.0,65.0,-8,56.6,SprintSpeed,44.0,6
K. De Bruyne,91,102000000.0,Starter,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,SprintSpeed,76.0,0
I. Rakitić,87,46500000.0,Backup,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,SprintSpeed,59.0,0
K. De Bruyne,91,102000000.0,Starter,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,Finishing,82.0,1
I. Rakitić,87,46500000.0,Backup,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,Finishing,83.0,1
K. De Bruyne,91,102000000.0,Starter,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,ShortPassing,92.0,2
I. Rakitić,87,46500000.0,Backup,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,ShortPassing,87.0,2
K. De Bruyne,91,102000000.0,Starter,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,Dribbling,86.0,3
I. Rakitić,87,46500000.0,Backup,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,Dribbling,84.0,3
K. De Bruyne,91,102000000.0,Starter,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,StandingTackle,58.0,4
I. Rakitić,87,46500000.0,Backup,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,StandingTackle,74.0,4
K. De Bruyne,91,102000000.0,Starter,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,Strength,75.0,5
I. Rakitić,87,46500000.0,Backup,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,Strength,66.0,5
K. De Bruyne,91,102000000.0,Starter,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,SprintSpeed,76.0,6
I. Rakitić,87,46500000.0,Backup,K. De Bruyne,RCM,I. Rakitić,FC Barcelona,46500000.0,54.0,-4,20.8,SprintSpeed,59.0,6
L. Modrić,91,67000000.0,Starter,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,SprintSpeed,72.0,0
I. Rakitić,87,46500000.0,Backup,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,SprintSpeed,59.0,0
L. Modrić,91,67000000.0,Starter,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,Finishing,72.0,1
I. Rakitić,87,46500000.0,Backup,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,Finishing,83.0,1
L. Modrić,91,67000000.0,Starter,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,ShortPassing,93.0,2
I. Rakitić,87,46500000.0,Backup,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,ShortPassing,87.0,2
L. Modrić,91,67000000.0,Starter,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,Dribbling,90.0,3
I. Rakitić,87,46500000.0,Backup,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,Dribbling,84.0,3
L. Modrić,91,67000000.0,Starter,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,StandingTackle,76.0,4
I. Rakitić,87,46500000.0,Backup,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,StandingTackle,74.0,4
L. Modrić,91,67000000.0,Starter,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,Strength,58.0,5
I. Rakitić,87,46500000.0,Backup,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,Strength,66.0,5
L. Modrić,91,67000000.0,Starter,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,SprintSpeed,72.0,6
I. Rakitić,87,46500000.0,Backup,L. Modrić,RCM,I. Rakitić,FC Barcelona,46500000.0,31.0,-4,12.8,SprintSpeed,59.0,6
L. Suárez,91,80000000.0,Starter,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,SprintSpeed,75.0,0
Falcao,84,25000000.0,Backup,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,SprintSpeed,66.0,0
L. Suárez,91,80000000.0,Starter,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,Finishing,93.0,1
Falcao,84,25000000.0,Backup,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,Finishing,86.0,1
L. Suárez,91,80000000.0,Starter,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,ShortPassing,82.0,2
Falcao,84,25000000.0,Backup,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,ShortPassing,79.0,2
L. Suárez,91,80000000.0,Starter,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,Dribbling,87.0,3
Falcao,84,25000000.0,Backup,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,Dribbling,75.0,3
L. Suárez,91,80000000.0,Starter,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,StandingTackle,45.0,4
Falcao,84,25000000.0,Backup,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,StandingTackle,42.0,4
L. Suárez,91,80000000.0,Starter,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,Strength,83.0,5
Falcao,84,25000000.0,Backup,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,Strength,75.0,5
L. Suárez,91,80000000.0,Starter,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,SprintSpeed,75.0,6
Falcao,84,25000000.0,Backup,L. Suárez,RS,Falcao,AS Monaco,25000000.0,69.0,-7,5.4,SprintSpeed,66.0,6
Sergio Ramos,91,51000000.0,Starter,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,SprintSpeed,75.0,0
Thiago Silva,88,24000000.0,Backup,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,SprintSpeed,72.0,0
Sergio Ramos,91,51000000.0,Starter,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,Finishing,60.0,1
Thiago Silva,88,24000000.0,Backup,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,Finishing,38.0,1
Sergio Ramos,91,51000000.0,Starter,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,ShortPassing,78.0,2
Thiago Silva,88,24000000.0,Backup,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,ShortPassing,80.0,2
Sergio Ramos,91,51000000.0,Starter,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,Dribbling,63.0,3
Thiago Silva,88,24000000.0,Backup,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,Dribbling,62.0,3
Sergio Ramos,91,51000000.0,Starter,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,StandingTackle,92.0,4
Thiago Silva,88,24000000.0,Backup,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,StandingTackle,89.0,4
Sergio Ramos,91,51000000.0,Starter,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,Strength,83.0,5
Thiago Silva,88,24000000.0,Backup,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,Strength,82.0,5
Sergio Ramos,91,51000000.0,Starter,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,SprintSpeed,75.0,6
Thiago Silva,88,24000000.0,Backup,Sergio Ramos,RCB,Thiago Silva,Paris Saint-Germain,24000000.0,53.0,-3,36.3,SprintSpeed,72.0,6
J. Oblak,90,68000000.0,Starter,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,SprintSpeed,60.0,0
K. Navas,87,30500000.0,Backup,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,SprintSpeed,53.0,0
J. Oblak,90,68000000.0,Starter,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,Finishing,11.0,1
K. Navas,87,30500000.0,Backup,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,Finishing,15.0,1
J. Oblak,90,68000000.0,Starter,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,ShortPassing,29.0,2
K. Navas,87,30500000.0,Backup,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,ShortPassing,30.0,2
J. Oblak,90,68000000.0,Starter,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,Dribbling,12.0,3
K. Navas,87,30500000.0,Backup,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,Dribbling,16.0,3
J. Oblak,90,68000000.0,Starter,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,StandingTackle,12.0,4
K. Navas,87,30500000.0,Backup,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,StandingTackle,14.0,4
J. Oblak,90,68000000.0,Starter,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,Strength,78.0,5
K. Navas,87,30500000.0,Backup,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,Strength,75.0,5
J. Oblak,90,68000000.0,Starter,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,SprintSpeed,60.0,6
K. Navas,87,30500000.0,Backup,J. Oblak,GK,K. Navas,Real Madrid,30500000.0,55.0,-3,56.6,SprintSpeed,53.0,6
R. Lewandowski,90,77000000.0,Starter,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,SprintSpeed,78.0,0
A. Lacazette,85,45000000.0,Backup,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,SprintSpeed,84.0,0
R. Lewandowski,90,77000000.0,Starter,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,Finishing,91.0,1
A. Lacazette,85,45000000.0,Backup,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,Finishing,88.0,1
R. Lewandowski,90,77000000.0,Starter,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,ShortPassing,83.0,2
A. Lacazette,85,45000000.0,Backup,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,ShortPassing,80.0,2
R. Lewandowski,90,77000000.0,Starter,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,Dribbling,85.0,3
A. Lacazette,85,45000000.0,Backup,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,Dribbling,85.0,3
R. Lewandowski,90,77000000.0,Starter,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,StandingTackle,42.0,4
A. Lacazette,85,45000000.0,Backup,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,StandingTackle,42.0,4
R. Lewandowski,90,77000000.0,Starter,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,Strength,84.0,5
A. Lacazette,85,45000000.0,Backup,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,Strength,73.0,5
R. Lewandowski,90,77000000.0,Starter,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,SprintSpeed,78.0,6
A. Lacazette,85,45000000.0,Backup,R. Lewandowski,ST,A. Lacazette,Arsenal,45000000.0,42.0,-5,45.9,SprintSpeed,84.0,6
T. Kroos,90,76500000.0,Starter,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,SprintSpeed,62.0,0
M. Hamšík,87,46500000.0,Backup,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,SprintSpeed,68.0,0
T. Kroos,90,76500000.0,Starter,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,Finishing,76.0,1
M. Hamšík,87,46500000.0,Backup,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,Finishing,79.0,1
T. Kroos,90,76500000.0,Starter,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,ShortPassing,92.0,2
M. Hamšík,87,46500000.0,Backup,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,ShortPassing,88.0,2
T. Kroos,90,76500000.0,Starter,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,Dribbling,81.0,3
M. Hamšík,87,46500000.0,Backup,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,Dribbling,86.0,3
T. Kroos,90,76500000.0,Starter,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,StandingTackle,79.0,4
M. Hamšík,87,46500000.0,Backup,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,StandingTackle,73.0,4
T. Kroos,90,76500000.0,Starter,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,Strength,73.0,5
M. Hamšík,87,46500000.0,Backup,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,Strength,67.0,5
T. Kroos,90,76500000.0,Starter,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,SprintSpeed,62.0,6
M. Hamšík,87,46500000.0,Backup,T. Kroos,LCM,M. Hamšík,Napoli,46500000.0,39.0,-3,15.5,SprintSpeed,68.0,6
D. Godín,90,44000000.0,Starter,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,SprintSpeed,68.0,0
N. Otamendi,85,28500000.0,Backup,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,SprintSpeed,61.0,0
D. Godín,90,44000000.0,Starter,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,Finishing,42.0,1
N. Otamendi,85,28500000.0,Backup,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,Finishing,54.0,1
D. Godín,90,44000000.0,Starter,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,ShortPassing,79.0,2
N. Otamendi,85,28500000.0,Backup,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,ShortPassing,75.0,2
D. Godín,90,44000000.0,Starter,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,Dribbling,53.0,3
N. Otamendi,85,28500000.0,Backup,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,Dribbling,51.0,3
D. Godín,90,44000000.0,Starter,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,StandingTackle,89.0,4
N. Otamendi,85,28500000.0,Backup,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,StandingTackle,85.0,4
D. Godín,90,44000000.0,Starter,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,Strength,88.0,5
N. Otamendi,85,28500000.0,Backup,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,Strength,80.0,5
D. Godín,90,44000000.0,Starter,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,SprintSpeed,68.0,6
N. Otamendi,85,28500000.0,Backup,D. Godín,CB,N. Otamendi,Manchester City,28500000.0,35.0,-5,48.0,SprintSpeed,61.0,6
David Silva,90,60000000.0,Starter,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,SprintSpeed,64.0,0
Oscar,83,30500000.0,Backup,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,SprintSpeed,72.0,0
David Silva,90,60000000.0,Starter,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,Finishing,76.0,1
Oscar,83,30500000.0,Backup,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,Finishing,76.0,1
David Silva,90,60000000.0,Starter,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,ShortPassing,93.0,2
Oscar,83,30500000.0,Backup,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,ShortPassing,86.0,2
David Silva,90,60000000.0,Starter,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,Dribbling,89.0,3
Oscar,83,30500000.0,Backup,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,Dribbling,78.0,3
David Silva,90,60000000.0,Starter,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,StandingTackle,53.0,4
Oscar,83,30500000.0,Backup,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,StandingTackle,52.0,4
David Silva,90,60000000.0,Starter,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,Strength,52.0,5
Oscar,83,30500000.0,Backup,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,Strength,38.0,5
David Silva,90,60000000.0,Starter,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,SprintSpeed,64.0,6
Oscar,83,30500000.0,Backup,David Silva,LCM,Oscar,Shanghai SIPG FC,30500000.0,49.0,-7,24.9,SprintSpeed,72.0,6
N. Kanté,89,63000000.0,Starter,N. Kanté,LDM,Lucas Leiva,Lazio,17500000.0,72.0,-6,25.7,SprintSpeed,78.0,0
Lucas Leiva,83,17500000.0,Backup,N. Kanté,LDM,Lucas Leiva,Lazio,17500000.0,72.0,-6,25.7,SprintSpeed,67.0,0
N. Kanté,89,63000000.0,Starter,N. Kanté,LDM,Lucas Leiva,Lazio,17500000.0,72.0,-6,25.7,Finishing,65.0,1
Lucas Leiva,83,17500000.0,Backup,N. Kanté,LDM,Lucas Leiva,Lazio,17500000.0,72.0,-6,25.7,Finishing,62.0,1
N. Kanté,89,63000000.0,Starter,N. Kanté,LDM,Lucas Leiva,Lazio,17500000.0,72.0,-6,25.7,ShortPassing,86.0,2
Lucas Leiva,83,17500000.0,Backup,N. Kanté,LDM,Lucas Leiva,Lazio,17500000.0,72.0,-6,25.7,ShortPassing,82.0,2
