Name,Club,Age,Value,Wage,Contract_Years_Remaining,Plot_X,Urgency_Group,Potential
G. Bale,Real Madrid,28,60000000.0,355000.0,3.0,2.9023068845866855,3. Stable (3 Years Left),88
H. Lloris,Tottenham Hotspur,31,36000000.0,150000.0,3.0,2.798836057003192,3. Stable (3 Years Left),88
G. Higuaín,Milan,30,57000000.0,245000.0,0.0,0.09211651325607845,1. Crisis (Expiring < 12m),88
Thiago Silva,Paris Saint-Germain,33,24000000.0,165000.0,1.0,0.9700762468698007,1. Crisis (Expiring < 12m),88
S. Handanovič,Inter,33,30000000.0,110000.0,2.0,1.8110191174223895,2. Urgent (2 Years Left),88
S. Umtiti,FC Barcelona,24,57000000.0,205000.0,4.0,3.9975884550556353,4. Secure (Long Term),92
M. Icardi,Inter,25,64500000.0,130000.0,2.0,1.7671942605576092,2. Urgent (2 Years Left),90
K. Koulibaly,Napoli,27,51000000.0,115000.0,2.0,2.204660201039391,2. Urgent (2 Years Left),90
P. Pogba,Manchester United,25,64000000.0,210000.0,2.0,1.8793899908000085,2. Urgent (2 Years Left),91
K. Navas,Real Madrid,31,30500000.0,195000.0,1.0,1.081261142176991,1. Crisis (Expiring < 12m),87
R. Lukaku,Manchester United,25,62500000.0,230000.0,3.0,2.9058555380447055,3. Stable (3 Years Left),89
C. Immobile,Lazio,28,52000000.0,115000.0,4.0,4.010034010588905,4. Secure (Long Term),87
Jordi Alba,FC Barcelona,29,38000000.0,250000.0,1.0,1.0233551396716398,1. Crisis (Expiring < 12m),87
D. Mertens,Napoli,31,45000000.0,135000.0,1.0,0.8424272277627636,1. Crisis (Expiring < 12m),87
J. Vertonghen,Tottenham Hotspur,31,34000000.0,155000.0,0.0,0.23479231388227928,1. Crisis (Expiring < 12m),87
M. Hamšík,Napoli,30,46500000.0,125000.0,1.0,1.1375664116805573,1. Crisis (Expiring < 12m),87
I. Rakitić,FC Barcelona,30,46500000.0,260000.0,2.0,2.2197494707820944,2. Urgent (2 Years Left),87
Piqué,FC Barcelona,31,34000000.0,240000.0,3.0,3.1974136752138245,3. Stable (3 Years Left),87
L. Sané,Manchester City,22,61000000.0,195000.0,2.0,2.0489499894055427,2. Urgent (2 Years Left),92
Bernardo Silva,Manchester City,23,59500000.0,180000.0,3.0,3.210937117511558,3. Stable (3 Years Left),91
Ederson,Manchester City,24,41500000.0,125000.0,6.0,5.794246251025959,4. Secure (Long Term),90
S. Mané,Liverpool,26,52000000.0,195000.0,4.0,3.8479914312095724,4. Secure (Long Term),87
V. van Dijk,Liverpool,26,44500000.0,165000.0,4.0,3.772613644455269,4. Secure (Long Term),88
R. Sterling,Manchester City,23,56500000.0,195000.0,4.0,3.912665165381632,4. Secure (Long Term),89
Roberto Firmino,Liverpool,26,53000000.0,195000.0,4.0,3.944338644844741,4. Secure (Long Term),87
R. Varane,Real Madrid,25,50000000.0,210000.0,3.0,2.885674515886948,3. Stable (3 Years Left),91
M. Verratti,Paris Saint-Germain,25,55000000.0,135000.0,2.0,2.164368754575965,2. Urgent (2 Years Left),89
Alex Sandro,Juventus,27,36500000.0,160000.0,1.0,0.9283766633467947,1. Crisis (Expiring < 12m),86
Douglas Costa,Juventus,27,46500000.0,175000.0,3.0,2.8904672548436903,3. Stable (3 Years Left),86
T. Müller,FC Bayern München,28,45000000.0,135000.0,2.0,2.0213480415791243,2. Urgent (2 Years Left),86
Thiago,FC Bayern München,27,45500000.0,130000.0,2.0,1.8204621124873812,2. Urgent (2 Years Left),86
M. Reus,Borussia Dortmund,29,43500000.0,100000.0,4.0,4.15109849037702,4. Secure (Long Term),86
Azpilicueta,Chelsea,28,35000000.0,175000.0,3.0,2.7872753218398856,3. Stable (3 Years Left),86
L. Bonucci,Juventus,31,30000000.0,160000.0,4.0,4.243443468300258,4. Secure (Long Term),86
T. Alderweireld,Tottenham Hotspur,29,39000000.0,150000.0,1.0,1.1361223846483286,1. Crisis (Expiring < 12m),87
M. Pjanić,Juventus,28,44000000.0,180000.0,4.0,3.849357840767086,4. Secure (Long Term),86
M. Benatia,Juventus,31,30000000.0,160000.0,1.0,0.7527610585618012,1. Crisis (Expiring < 12m),86
M. Özil,Arsenal,29,43500000.0,190000.0,2.0,2.157730714227417,2. Urgent (2 Years Left),86
Fernandinho,Manchester City,33,18000000.0,185000.0,1.0,1.1034286719238087,1. Crisis (Expiring < 12m),86
Iniesta,Vissel Kobe,34,21500000.0,21000.0,2.0,2.1145035840204938,2. Urgent (2 Years Left),86
M. Škriniar,Inter,23,46500000.0,82000.0,3.0,3.135635173342973,3. Stable (3 Years Left),92
S. Milinković-Savić,Lazio,23,50500000.0,73000.0,4.0,3.7870223258670452,4. Secure (Long Term),90
Marco Asensio,Real Madrid,22,54000000.0,215000.0,4.0,3.9292328642721364,4. Secure (Long Term),92
N. Fekir,Olympique Lyonnais,24,50000000.0,92000.0,1.0,0.8079345297625649,1. Crisis (Expiring < 12m),89
Alisson,Liverpool,25,36500000.0,115000.0,5.0,5.181551712937797,4. Secure (Long Term),90
J. Kimmich,FC Bayern München,23,40500000.0,92000.0,4.0,4.061649063413779,4. Secure (Long Term),88
Saúl,Atlético Madrid,23,50500000.0,77000.0,7.0,6.915449012426325,4. Secure (Long Term),90
R. Mahrez,Manchester City,27,40500000.0,205000.0,4.0,3.781779175143012,4. Secure (Long Term),85
D. Alaba,FC Bayern München,26,38000000.0,110000.0,2.0,1.905491160857831,2. Urgent (2 Years Left),87
Koke,Atlético Madrid,26,45000000.0,88000.0,0.0,-0.08740833898662648,1. Crisis (Expiring < 12m),86
A. Lacazette,Arsenal,27,45000000.0,180000.0,3.0,3.114803089169032,3. Stable (3 Years Left),86
K. Manolas,Roma,27,37500000.0,96000.0,3.0,3.0687787356776064,3. Stable (3 Years Left),87
N. Otamendi,Manchester City,30,28500000.0,170000.0,3.0,3.1936063712881633,3. Stable (3 Years Left),85
Parejo,Valencia CF,29,37000000.0,66000.0,1.0,0.9861074625809747,1. Crisis (Expiring < 12m),85
Paulinho,Guangzhou Evergrande Taobao FC,29,37000000.0,235000.0,0.0,-0.19020287703084915,1. Crisis (Expiring < 12m),85
W. Szczęsny,Juventus,28,32000000.0,125000.0,2.0,2.1066223936114974,2. Urgent (2 Years Left),87
A. Sánchez,Manchester United,29,37500000.0,215000.0,3.0,3.1303925243084487,3. Stable (3 Years Left),85
Y. Brahimi,FC Porto,28,39000000.0,28000.0,0.0,0.030638598784748117,1. Crisis (Expiring < 12m),85
J. Boateng,FC Bayern München,29,30000000.0,115000.0,2.0,2.1354835899772806,2. Urgent (2 Years Left),85
A. Vidal,FC Barcelona,31,26000000.0,205000.0,2.0,1.9968977981821954,2. Urgent (2 Years Left),85
I. Perišić,Inter,29,37500000.0,110000.0,3.0,3.011366414690997,3. Stable (3 Years Left),85
E. Džeko,Roma,32,30500000.0,115000.0,1.0,0.9637705091792748,1. Crisis (Expiring < 12m),85
S. Khedira,Juventus,31,33000000.0,160000.0,2.0,1.7627095633720475,2. Urgent (2 Years Left),85
Diego Costa,Atlético Madrid,29,38500000.0,100000.0,2.0,1.8039457134966521,2. Urgent (2 Years Left),85
R. Nainggolan,Inter,30,35500000.0,105000.0,3.0,2.7657145928433673,3. Stable (3 Years Left),85
B. Matuidi,Juventus,31,26000000.0,145000.0,1.0,1.0682052056318903,1. Crisis (Expiring < 12m),85
Miranda,Inter,33,15500000.0,96000.0,1.0,0.9071779905381634,1. Crisis (Expiring < 12m),85
K. Benzema,Real Madrid,30,37000000.0,240000.0,2.0,2.0042853455823515,2. Urgent (2 Years Left),85
Filipe Luís,Atlético Madrid,32,21500000.0,81000.0,0.0,0.2037832369630465,1. Crisis (Expiring < 12m),85
V. Kompany,Manchester City,32,22000000.0,170000.0,0.0,-0.12535388542556253,1. Crisis (Expiring < 12m),85
D. Sánchez,Tottenham Hotspur,22,34000000.0,105000.0,5.0,4.955191461517815,4. Secure (Long Term),88
J. Giménez,Atlético Madrid,23,34000000.0,63000.0,4.0,4.127775569271524,4. Secure (Long Term),88
Alex Telles,FC Porto,25,32000000.0,22000.0,2.0,1.8643990827458112,2. Urgent (2 Years Left),87
A. Laporte,Manchester City,24,34000000.0,135000.0,4.0,3.7884899549143967,4. Secure (Long Term),88
Bruno Fernandes,Sporting CP,23,40500000.0,22000.0,4.0,3.894875726456884,4. Secure (Long Term),88
N. Süle,FC Bayern München,22,36500000.0,84000.0,3.0,2.8306106436270024,3. Stable (3 Years Left),90
A. Martial,Manchester United,22,42500000.0,165000.0,0.0,0.21484882617128653,1. Crisis (Expiring < 12m),90
D. Alli,Tottenham Hotspur,22,42500000.0,115000.0,5.0,5.154060189782209,4. Secure (Long Term),90
Fabinho,Liverpool,24,34000000.0,120000.0,4.0,4.066701878255212,4. Secure (Long Term),88
Marquinhos,Paris Saint-Germain,24,35500000.0,90000.0,3.0,3.185730295093859,3. Stable (3 Years Left),89
William Carvalho,Real Betis,26,31500000.0,38000.0,4.0,4.151836038449558,4. Secure (Long Term),86
Jorginho,Chelsea,26,38000000.0,155000.0,4.0,3.843285029443018,4. Secure (Long Term),87
F. Thauvin,Olympique de Marseille,25,39000000.0,72000.0,2.0,2.196279499244989,2. Urgent (2 Years Left),87
Carvajal,Real Madrid,26,31500000.0,185000.0,3.0,3.0196711209578253,3. Stable (3 Years Left),87
M. Depay,Olympique Lyonnais,24,42000000.0,93000.0,2.0,2.1537200775820313,2. Urgent (2 Years Left),89
H. Son,Tottenham Hotspur,25,37000000.0,125000.0,4.0,4.198045649961746,4. Secure (Long Term),85
A. Lopes,Olympique Lyonnais,27,25000000.0,72000.0,1.0,0.9090017374859319,1. Crisis (Expiring < 12m),86
S. de Vrij,Inter,26,31500000.0,88000.0,4.0,3.8050259622638385,4. Secure (Long Term),86
M. Perin,Juventus,25,29500000.0,105000.0,3.0,2.8639675812709706,3. Stable (3 Years Left),89
J. Cuadrado,Juventus,30,29500000.0,150000.0,1.0,0.9635538943131281,1. Crisis (Expiring < 12m),84
Iago Aspas,RC Celta,30,30000000.0,45000.0,3.0,3.1590073829612466,3. Stable (3 Years Left),84
B. Leno,Arsenal,26,27000000.0,115000.0,4.0,4.1803652916281715,4. Secure (Long Term),87
N. Matić,Manchester United,29,24000000.0,165000.0,1.0,0.7534760652655954,1. Crisis (Expiring < 12m),84
L. Hrádecký,Bayer 04 Leverkusen,28,22000000.0,74000.0,4.0,4.0053736512887825,4. Secure (Long Term),84
Illarramendi,Real Sociedad,28,31000000.0,51000.0,4.0,3.9587055015743893,4. Secure (Long Term),84
K. Walker,Manchester City,28,24500000.0,165000.0,3.0,2.861053905235365,3. Stable (3 Years Left),84
I. Gündoğan,Manchester City,27,32000000.0,175000.0,1.0,0.8099326836668415,1. Crisis (Expiring < 12m),84
José Callejón,Napoli,31,27500000.0,105000.0,1.0,0.918807585701814,1. Crisis (Expiring < 12m),84
A. Di María,Paris Saint-Germain,30,29500000.0,125000.0,2.0,2.22145485195626,2. Urgent (2 Years Left),84
M. Mandžukić,Juventus,32,25000000.0,160000.0,1.0,0.9116014660103776,1. Crisis (Expiring < 12m),84
Willian,Chelsea,29,30500000.0,175000.0,1.0,1.009395310871683,1. Crisis (Expiring < 12m),84
Sergio Asenjo,Villarreal CF,29,24000000.0,42000.0,3.0,3.101509479447589,3. Stable (3 Years Left),85
E. Banega,Sevilla FC,30,29000000.0,31000.0,1.0,0.931814801189647,1. Crisis (Expiring < 12m),84
A. Witsel,Borussia Dortmund,29,24000000.0,77000.0,3.0,3.2358910413604804,3. Stable (3 Years Left),84
D. Payet,Olympique de Marseille,31,27500000.0,75000.0,2.0,2.2312236474710554,2. Urgent (2 Years Left),84
Jonas,SL Benfica,34,16500000.0,25000.0,1.0,0.8758911479126821,1. Crisis (Expiring < 12m),84
Sokratis,Arsenal,30,23000000.0,140000.0,2.0,1.9986242529461928,2. Urgent (2 Years Left),84
S. Ruffier,AS Saint-Étienne,31,19000000.0,41000.0,2.0,1.9004391549083848,2. Urgent (2 Years Left),84
Falcao,AS Monaco,32,25000000.0,115000.0,1.0,0.8924202471887338,1. Crisis (Expiring < 12m),84
K. Schmeichel,Leicester City,31,19000000.0,78000.0,4.0,3.7684434736772663,4. Secure (Long Term),84
Raúl Albiol,Napoli,32,18000000.0,88000.0,2.0,2.0547821669899484,2. Urgent (2 Years Left),84
A. Gómez,Atalanta,30,30000000.0,53000.0,3.0,3.0013395116144306,3. Stable (3 Years Left),84
Quaresma,Beşiktaş JK,34,15500000.0,80000.0,1.0,0.7757393756249946,1. Crisis (Expiring < 12m),84
A. Robben,FC Bayern München,34,15500000.0,110000.0,0.0,-0.11067676788169428,1. Crisis (Expiring < 12m),84
O. Dembélé,FC Barcelona,21,40000000.0,155000.0,3.0,3.204132942983327,3. Stable (3 Years Left),92
Gabriel Jesus,Manchester City,21,41000000.0,130000.0,4.0,3.869780945333486,4. Secure (Long Term),92
Ronaldo Cabrais,Grêmio,26,28000000.0,51000.0,2.0,1.8224474360456115,2. Urgent (2 Years Left),83
Josué Chiamulera,Grêmio,26,22500000.0,43000.0,2.0,1.9947263801387816,2. Urgent (2 Years Left),83
Louri Beretta,Atlético Mineiro,26,28500000.0,60000.0,2.0,2.2428252270553,2. Urgent (2 Years Left),83
P. Kimpembe,Paris Saint-Germain,22,30500000.0,82000.0,4.0,3.87102763575575,4. Secure (Long Term),89
N. Keïta,Liverpool,23,34000000.0,120000.0,4.0,4.086067773702939,4. Secure (Long Term),88
C. Tolisso,FC Bayern München,23,34000000.0,85000.0,3.0,3.1308098076643587,3. Stable (3 Years Left),88
T. Lemar,Atlético Madrid,22,35500000.0,64000.0,4.0,3.8688187719962,4. Secure (Long Term),89
K. Coman,FC Bayern München,22,34000000.0,85000.0,4.0,4.11410817430593,4. Secure (Long Term),87
J. Tah,Bayer 04 Leverkusen,22,29500000.0,67000.0,4.0,3.933891566359627,4. Secure (Long Term),88
Anderson Talisca,Guangzhou Evergrande Taobao FC,24,36500000.0,18000.0,0.0,0.06615291529678974,1. Crisis (Expiring < 12m),90
T. Werner,RB Leipzig,22,34500000.0,70000.0,1.0,1.0667648553804474,1. Crisis (Expiring < 12m),87
A. Rabiot,Paris Saint-Germain,23,33000000.0,91000.0,0.0,0.01788734203737924,1. Crisis (Expiring < 12m),87
L. Goretzka,FC Bayern München,23,34000000.0,85000.0,3.0,2.795144885027204,3. Stable (3 Years Left),88
Q. Promes,Sevilla FC,26,30500000.0,28000.0,4.0,4.167651247794619,4. Secure (Long Term),84
H. Ziyech,Ajax,25,32500000.0,28000.0,2.0,1.9103900324858678,2. Urgent (2 Years Left),86
Lucas Vázquez,Real Madrid,27,27000000.0,205000.0,2.0,1.8432592551999272,2. Urgent (2 Years Left),83
Y. Carrasco,Dalian YiFang FC,24,33000000.0,20000.0,2.0,1.770387570777382,2. Urgent (2 Years Left),86
Gerard Moreno,Villarreal CF,26,32000000.0,53000.0,4.0,4.045446471594121,4. Secure (Long Term),85
Felipe,FC Porto,29,20000000.0,22000.0,2.0,2.0887821809211413,2. Urgent (2 Years Left),83
M. Kovačić,Chelsea,24,35000000.0,165000.0,0.0,-0.24170608553607192,1. Crisis (Expiring < 12m),89
Kepa,Chelsea,23,28500000.0,84000.0,6.0,6.00604652914964,4. Secure (Long Term),91
Manu Trigueros,Villarreal CF,26,30000000.0,49000.0,3.0,2.863247887598969,3. Stable (3 Years Left),84
S. Gnabry,FC Bayern München,22,34500000.0,85000.0,1.0,1.072586395204725,1. Crisis (Expiring < 12m),88
J. Pickford,Everton,24,25000000.0,78000.0,5.0,4.837183214502495,4. Secure (Long Term),88
S. Savić,Atlético Madrid,27,26000000.0,67000.0,1.0,1.095468869051233,1. Crisis (Expiring < 12m),86
J. Stones,Manchester City,24,28500000.0,125000.0,3.0,2.9433676731502687,3. Stable (3 Years Left),87
Suso,Milan,24,33000000.0,115000.0,3.0,3.2183649943683674,3. Stable (3 Years Left),86
J. Draxler,Paris Saint-Germain,24,32500000.0,91000.0,2.0,1.8187604720729966,2. Urgent (2 Years Left),86
Felipe Anderson,West Ham United,25,31500000.0,110000.0,3.0,2.9205331755251294,3. Stable (3 Years Left),85
Lucas Moura,Tottenham Hotspur,25,31000000.0,115000.0,4.0,3.8067367606202946,4. Secure (Long Term),84
Danilo Pereira,FC Porto,26,27000000.0,21000.0,3.0,3.2123468091392815,3. Stable (3 Years Left),86
Nacho Fernández,Real Madrid,28,24500000.0,180000.0,2.0,2.1886696766904903,2. Urgent (2 Years Left),85
T. Horn,1. FC Köln,25,24000000.0,25000.0,4.0,3.8789708138575776,4. Secure (Long Term),87
Allan,Napoli,27,26500000.0,87000.0,4.0,4.079992023017089,4. Secure (Long Term),83
F. Acerbi,Lazio,30,19000000.0,64000.0,4.0,4.158611100100608,4. Secure (Long Term),83
Sergi Roberto,FC Barcelona,26,26500000.0,170000.0,3.0,3.027600405799731,3. Stable (3 Years Left),86
Rodrigo,Valencia CF,27,30500000.0,57000.0,3.0,3.0148252891780034,3. Stable (3 Years Left),84
Pizzi,SL Benfica,28,25500000.0,22000.0,3.0,2.870926145450226,3. Stable (3 Years Left),83
K. Kampl,RB Leipzig,27,26500000.0,74000.0,2.0,1.7965513839029497,2. Urgent (2 Years Left),83
Neto,Valencia CF,28,21000000.0,41000.0,2.0,2.1986078789766634,2. Urgent (2 Years Left),84
O. Baumann,TSG 1899 Hoffenheim,28,21000000.0,42000.0,2.0,2.200209028581665,2. Urgent (2 Years Left),84
I. Gueye,Everton,28,21000000.0,125000.0,3.0,3.066550728636634,3. Stable (3 Years Left),83
H. Mkhitaryan,Arsenal,29,25500000.0,145000.0,2.0,1.9195148955243504,2. Urgent (2 Years Left),83
Marcos Alonso,Chelsea,27,24000000.0,130000.0,4.0,3.9246047873063303,4. Secure (Long Term),84
K. Glik,AS Monaco,30,19000000.0,86000.0,2.0,2.1129778394351195,2. Urgent (2 Years Left),83
K. Strootman,Olympique de Marseille,28,21000000.0,66000.0,4.0,4.198555129976288,4. Secure (Long Term),83
B. Dost,Sporting CP,29,26000000.0,26000.0,2.0,2.1935432121325587,2. Urgent (2 Years Left),83
Oscar,Shanghai SIPG FC,26,30500000.0,29000.0,1.0,1.1399377729288118,1. Crisis (Expiring < 12m),84
M. Balotelli,OGC Nice,27,27500000.0,55000.0,0.0,0.07101582307714388,1. Crisis (Expiring < 12m),83
Luiz Gustavo,Olympique de Marseille,30,19000000.0,63000.0,2.0,1.7920699824975244,2. Urgent (2 Years Left),83
Giuliano,Al Nassr,28,26000000.0,64000.0,2.0,1.830814357047307,2. Urgent (2 Years Left),83
David Luiz,Chelsea,31,17500000.0,130000.0,0.0,0.19927709426353962,1. Crisis (Expiring < 12m),83
R. Fährmann,FC Schalke 04,29,20000000.0,38000.0,3.0,3.053214529829795,3. Stable (3 Years Left),84
Juan Mata,Manchester United,30,24500000.0,160000.0,0.0,-0.24540147419168518,1. Crisis (Expiring < 12m),83
Adán,Atlético Madrid,31,15500000.0,55000.0,1.0,0.8007357714330161,1. Crisis (Expiring < 12m),83
Rui Patrício,Wolverhampton Wanderers,30,16500000.0,74000.0,3.0,3.081750884554028,3. Stable (3 Years Left),83
Y. Sommer,Borussia Mönchengladbach,29,20000000.0,35000.0,2.0,1.7525307919231095,2. Urgent (2 Years Left),84
Javi Martínez,FC Bayern München,29,20000000.0,94000.0,2.0,1.8304040257087493,2. Urgent (2 Years Left),83
L. Bender,Bayer 04 Leverkusen,29,20000000.0,82000.0,2.0,2.024366894683293,2. Urgent (2 Years Left),83
Lucas Leiva,Lazio,31,17500000.0,64000.0,1.0,1.0959475988463465,1. Crisis (Expiring < 12m),83
Cesc Fàbregas,Chelsea,31,22000000.0,140000.0,0.0,0.07598062975130027,1. Crisis (Expiring < 12m),83
M. Dembélé,Tottenham Hotspur,30,24000000.0,120000.0,0.0,-0.1378653452697201,1. Crisis (Expiring < 12m),83
J. Pavlenka,SV Werder Bremen,26,19500000.0,30000.0,2.0,2.106089610673768,2. Urgent (2 Years Left),85
M. de Ligt,Ajax,18,27000000.0,11000.0,2.0,1.8686245437484001,2. Urgent (2 Years Left),91
Rodri,Atlético Madrid,22,29000000.0,59000.0,4.0,3.912699849079634,4. Secure (Long Term),87
Arthur,FC Barcelona,21,32500000.0,125000.0,5.0,5.123245702559012,4. Secure (Long Term),90
G. Donnarumma,Milan,19,29000000.0,23000.0,2.0,2.0748164495236074,2. Urgent (2 Years Left),93
Rosberto Dourado,Atlético Mineiro,30,16500000.0,46000.0,0.0,0.17461170524708897,1. Crisis (Expiring < 12m),82
Gelson Martins,Atlético Madrid,23,29500000.0,59000.0,4.0,4.078806446150172,4. Secure (Long Term),87
Gonçalo Guedes,Valencia CF,21,29000000.0,36000.0,5.0,5.034154301667736,4. Secure (Long Term),86
L. Torreira,Arsenal,22,25000000.0,98000.0,4.0,3.7968373839140463,4. Secure (Long Term),87
Malcom,FC Barcelona,21,31500000.0,140000.0,4.0,3.933857901529717,4. Secure (Long Term),89
Pau López,Real Betis,23,21500000.0,21000.0,4.0,3.8826011838408627,4. Secure (Long Term),87
L. Hernández,Atlético Madrid,22,25500000.0,53000.0,5.0,4.871994821689542,4. Secure (Long Term),88
C. Lenglet,FC Barcelona,23,26000000.0,135000.0,4.0,4.236505277376223,4. Secure (Long Term),88
A. Kramarić,TSG 1899 Hoffenheim,27,26000000.0,54000.0,3.0,2.94654886233338,3. Stable (3 Years Left),83
A. Robertson,Liverpool,24,24500000.0,98000.0,2.0,2.196023277588557,2. Urgent (2 Years Left),87
Dani García,Athletic Club de Bilbao,28,20000000.0,33000.0,3.0,3.0655693129986314,3. Stable (3 Years Left),83
F. Bernardeschi,Juventus,24,29500000.0,110000.0,3.0,3.147405651770824,3. Stable (3 Years Left),87
J. Brandt,Bayer 04 Leverkusen,22,30500000.0,68000.0,2.0,2.001318546552596,2. Urgent (2 Years Left),88
D. Rugani,Juventus,23,24500000.0,95000.0,2.0,2.0384519423131797,2. Urgent (2 Years Left),86
Samu Castillejo,Milan,23,29000000.0,94000.0,4.0,3.996258846909432,4. Secure (Long Term),86
João Cancelo,Juventus,24,25500000.0,95000.0,4.0,3.8476214938990223,4. Secure (Long Term),88
A. Romagnoli,Milan,23,26500000.0,84000.0,3.0,3.111226057630753,3. Stable (3 Years Left),89
T. Partey,Atlético Madrid,25,25500000.0,59000.0,4.0,3.890386181220428,4. Secure (Long Term),88
Fred,Manchester United,25,26500000.0,140000.0,4.0,3.762157983215727,4. Secure (Long Term),84
J. Vardy,Leicester City,31,20000000.0,96000.0,3.0,3.072736147953584,3. Stable (3 Years Left),82
A. Belotti,Torino,24,30000000.0,58000.0,2.0,1.8385553397035244,2. Urgent (2 Years Left),87
E. Forsberg,RB Leipzig,26,26000000.0,67000.0,3.0,3.220229292176457,3. Stable (3 Years Left),83
J. Lingard,Manchester United,25,26500000.0,140000.0,2.0,2.2269642885012937,2. Urgent (2 Years Left),83
F. Vázquez,Sevilla FC,29,21500000.0,27000.0,2.0,2.2074321951102243,2. Urgent (2 Years Left),82
E. Višća,Medipol Başakşehir FK,28,22500000.0,40000.0,2.0,1.9350793501277221,2. Urgent (2 Years Left),82
A. Rüdiger,Chelsea,25,22500000.0,110000.0,3.0,2.7577283082644337,3. Stable (3 Years Left),84
A. Florenzi,Roma,27,20500000.0,73000.0,4.0,4.214159281293862,4. Secure (Long Term),83
H. Maguire,Leicester City,25,23500000.0,77000.0,4.0,3.964092074158657,4. Secure (Long Term),85
T. Meunier,Paris Saint-Germain,26,21000000.0,87000.0,1.0,1.2333274095218347,1. Crisis (Expiring < 12m),83
S. Sané,FC Schalke 04,27,18500000.0,41000.0,3.0,3.2318099885446263,3. Stable (3 Years Left),82
