Name,Club,Age,Position,Value,Wage,Release Clause,Clause_Premium_Pct
S. Umtiti,FC Barcelona,24,CB,57000000.0,205000.0,121100000.0,112.45614035087719
M. Icardi,Inter,25,ST,64500000.0,130000.0,114500000.0,77.51937984496125
K. Koulibaly,Napoli,27,LCB,51000000.0,115000.0,90500000.0,77.45098039215686
P. Pogba,Manchester United,25,RDM,64000000.0,210000.0,123200000.0,92.5
K. Navas,Real Madrid,31,GK,30500000.0,195000.0,62500000.0,104.91803278688525
R. Lukaku,Manchester United,25,ST,62500000.0,230000.0,120300000.0,92.47999999999999
C. Immobile,Lazio,28,ST,52000000.0,115000.0,88400000.0,70.0
Jordi Alba,FC Barcelona,29,LB,38000000.0,250000.0,77900000.0,105.0
D. Mertens,Napoli,31,RF,45000000.0,135000.0,76500000.0,70.0
J. Vertonghen,Tottenham Hotspur,31,LCB,34000000.0,155000.0,62900000.0,85.0
M. Hamšík,Napoli,30,LCM,46500000.0,125000.0,79100000.0,70.10752688172043
I. Rakitić,FC Barcelona,30,RCM,46500000.0,260000.0,95300000.0,104.94623655913979
Piqué,FC Barcelona,31,RCB,34000000.0,240000.0,69700000.0,105.0
L. Sané,Manchester City,22,LW,61000000.0,195000.0,125100000.0,105.08196721311475
Bernardo Silva,Manchester City,23,RW,59500000.0,180000.0,114500000.0,92.43697478991596
Ederson,Manchester City,24,GK,41500000.0,125000.0,79900000.0,92.53012048192771
S. Mané,Liverpool,26,LM,52000000.0,195000.0,102700000.0,97.5
V. van Dijk,Liverpool,26,LCB,44500000.0,165000.0,87900000.0,97.52808988764045
R. Sterling,Manchester City,23,RW,56500000.0,195000.0,108800000.0,92.56637168141593
Roberto Firmino,Liverpool,26,CAM,53000000.0,195000.0,104700000.0,97.54716981132076
R. Varane,Real Madrid,25,RCB,50000000.0,210000.0,106300000.0,112.6
M. Verratti,Paris Saint-Germain,25,LCM,55000000.0,135000.0,105900000.0,92.54545454545455
Alex Sandro,Juventus,27,LB,36500000.0,160000.0,60200000.0,64.93150684931507
Douglas Costa,Juventus,27,LM,46500000.0,175000.0,76700000.0,64.94623655913978
T. Müller,FC Bayern München,28,CAM,45000000.0,135000.0,74300000.0,65.11111111111111
Thiago,FC Bayern München,27,CM,45500000.0,130000.0,75100000.0,65.05494505494505
M. Reus,Borussia Dortmund,29,LM,43500000.0,100000.0,74000000.0,70.11494252873564
Azpilicueta,Chelsea,28,RB,35000000.0,175000.0,64800000.0,85.14285714285714
L. Bonucci,Juventus,31,RCB,30000000.0,160000.0,49500000.0,65.0
T. Alderweireld,Tottenham Hotspur,29,RCB,39000000.0,150000.0,75100000.0,92.56410256410257
M. Pjanić,Juventus,28,CDM,44000000.0,180000.0,72600000.0,65.0
M. Benatia,Juventus,31,CB,30000000.0,160000.0,49500000.0,65.0
M. Özil,Arsenal,29,CAM,43500000.0,190000.0,82700000.0,90.11494252873563
Fernandinho,Manchester City,33,CDM,18000000.0,185000.0,33300000.0,85.0
Iniesta,Vissel Kobe,34,LF,21500000.0,21000.0,26900000.0,25.116279069767444
M. Škriniar,Inter,23,LCB,46500000.0,82000.0,88400000.0,90.10752688172043
S. Milinković-Savić,Lazio,23,CM,50500000.0,73000.0,89600000.0,77.42574257425743
Marco Asensio,Real Madrid,22,RW,54000000.0,215000.0,121500000.0,125.0
N. Fekir,Olympique Lyonnais,24,CAM,50000000.0,92000.0,98800000.0,97.6
Alisson,Liverpool,25,GK,36500000.0,115000.0,72100000.0,97.53424657534246
J. Kimmich,FC Bayern München,23,RCM,40500000.0,92000.0,69900000.0,72.5925925925926
Saúl,Atlético Madrid,23,RCM,50500000.0,77000.0,107300000.0,112.47524752475249
R. Mahrez,Manchester City,27,RW,40500000.0,205000.0,74900000.0,84.93827160493828
D. Alaba,FC Bayern München,26,LB,38000000.0,110000.0,65600000.0,72.63157894736842
Koke,Atlético Madrid,26,LM,45000000.0,88000.0,95600000.0,112.44444444444443
A. Lacazette,Arsenal,27,ST,45000000.0,180000.0,88900000.0,97.55555555555556
K. Manolas,Roma,27,LCB,37500000.0,96000.0,66600000.0,77.60000000000001
N. Otamendi,Manchester City,30,CB,28500000.0,170000.0,52700000.0,84.91228070175438
Parejo,Valencia CF,29,RCM,37000000.0,66000.0,77700000.0,110.00000000000001
Paulinho,Guangzhou Evergrande Taobao FC,29,LDM,37000000.0,235000.0,68900000.0,86.21621621621621
W. Szczęsny,Juventus,28,GK,32000000.0,125000.0,55200000.0,72.5
A. Sánchez,Manchester United,29,RW,37500000.0,215000.0,69400000.0,85.06666666666666
Y. Brahimi,FC Porto,28,LM,39000000.0,28000.0,78000000.0,100.0
J. Boateng,FC Bayern München,29,RCB,30000000.0,115000.0,49500000.0,65.0
A. Vidal,FC Barcelona,31,CAM,26000000.0,205000.0,53300000.0,105.0
I. Perišić,Inter,29,LM,37500000.0,110000.0,63800000.0,70.13333333333334
E. Džeko,Roma,32,ST,30500000.0,115000.0,51900000.0,70.16393442622952
S. Khedira,Juventus,31,RCM,33000000.0,160000.0,54500000.0,65.15151515151516
Diego Costa,Atlético Madrid,29,LS,38500000.0,100000.0,78900000.0,104.93506493506493
R. Nainggolan,Inter,30,CAM,35500000.0,105000.0,60400000.0,70.14084507042253
B. Matuidi,Juventus,31,LM,26000000.0,145000.0,42900000.0,65.0
Miranda,Inter,33,CB,15500000.0,96000.0,26400000.0,70.3225806451613
K. Benzema,Real Madrid,30,ST,37000000.0,240000.0,75900000.0,105.13513513513513
Filipe Luís,Atlético Madrid,32,LB,21500000.0,81000.0,44100000.0,105.11627906976744
V. Kompany,Manchester City,32,CB,22000000.0,170000.0,40700000.0,85.0
Z. Ibrahimović,LA Galaxy,36,RS,14000000.0,15000.0,21000000.0,50.0
D. Sánchez,Tottenham Hotspur,22,RCB,34000000.0,105000.0,65500000.0,92.64705882352942
J. Giménez,Atlético Madrid,23,RCB,34000000.0,63000.0,72300000.0,112.6470588235294
Alex Telles,FC Porto,25,LB,32000000.0,22000.0,66400000.0,107.5
A. Laporte,Manchester City,24,LCB,34000000.0,135000.0,65500000.0,92.64705882352942
Bruno Fernandes,Sporting CP,23,LCM,40500000.0,22000.0,84000000.0,107.40740740740742
N. Süle,FC Bayern München,22,CB,36500000.0,84000.0,67500000.0,84.93150684931507
A. Martial,Manchester United,22,LW,42500000.0,165000.0,87100000.0,104.94117647058823
D. Alli,Tottenham Hotspur,22,LCM,42500000.0,115000.0,87100000.0,104.94117647058823
Fabinho,Liverpool,24,CDM,34000000.0,120000.0,67200000.0,97.6470588235294
Marquinhos,Paris Saint-Germain,24,LDM,35500000.0,90000.0,68300000.0,92.3943661971831
William Carvalho,Real Betis,26,CDM,31500000.0,38000.0,68500000.0,117.46031746031747
Jorginho,Chelsea,26,CM,38000000.0,155000.0,73200000.0,92.63157894736842
F. Thauvin,Olympique de Marseille,25,RM,39000000.0,72000.0,77000000.0,97.43589743589743
Carvajal,Real Madrid,26,RB,31500000.0,185000.0,66900000.0,112.38095238095238
M. Depay,Olympique Lyonnais,24,ST,42000000.0,93000.0,83000000.0,97.61904761904762
H. Son,Tottenham Hotspur,25,LM,37000000.0,125000.0,71200000.0,92.43243243243244
A. Lopes,Olympique Lyonnais,27,GK,25000000.0,72000.0,49400000.0,97.6
S. de Vrij,Inter,26,CB,31500000.0,88000.0,55900000.0,77.46031746031747
M. Perin,Juventus,25,GK,29500000.0,105000.0,50900000.0,72.54237288135593
J. Cuadrado,Juventus,30,RAM,29500000.0,150000.0,48700000.0,65.08474576271186
Iago Aspas,RC Celta,30,ST,30000000.0,45000.0,63000000.0,110.00000000000001
B. Leno,Arsenal,26,GK,27000000.0,115000.0,53300000.0,97.4074074074074
N. Matić,Manchester United,29,CDM,24000000.0,165000.0,44400000.0,85.0
L. Hrádecký,Bayer 04 Leverkusen,28,GK,22000000.0,74000.0,37400000.0,70.0
Illarramendi,Real Sociedad,28,RDM,31000000.0,51000.0,65100000.0,110.00000000000001
K. Walker,Manchester City,28,RB,24500000.0,165000.0,45300000.0,84.89795918367346
I. Gündoğan,Manchester City,27,CM,32000000.0,175000.0,59200000.0,85.0
José Callejón,Napoli,31,RM,27500000.0,105000.0,46800000.0,70.18181818181817
A. Di María,Paris Saint-Germain,30,RM,29500000.0,125000.0,54600000.0,85.08474576271186
M. Mandžukić,Juventus,32,ST,25000000.0,160000.0,41300000.0,65.2
Willian,Chelsea,29,RW,30500000.0,175000.0,56400000.0,84.91803278688525
Sergio Asenjo,Villarreal CF,29,GK,24000000.0,42000.0,52200000.0,117.5
E. Banega,Sevilla FC,30,CDM,29000000.0,31000.0,60900000.0,110.00000000000001
A. Witsel,Borussia Dortmund,29,LCM,24000000.0,77000.0,40800000.0,70.0
D. Payet,Olympique de Marseille,31,CAM,27500000.0,75000.0,52300000.0,90.18181818181819
Jonas,SL Benfica,34,ST,16500000.0,25000.0,33000000.0,100.0
Sokratis,Arsenal,30,RCB,23000000.0,140000.0,43700000.0,90.0
S. Ruffier,AS Saint-Étienne,31,GK,19000000.0,41000.0,36100000.0,90.0
Falcao,AS Monaco,32,RS,25000000.0,115000.0,47500000.0,90.0
K. Schmeichel,Leicester City,31,GK,19000000.0,78000.0,36100000.0,90.0
Raúl Albiol,Napoli,32,RCB,18000000.0,88000.0,30600000.0,70.0
A. Gómez,Atalanta,30,LS,30000000.0,53000.0,51000000.0,70.0
Quaresma,Beşiktaş JK,34,RM,15500000.0,80000.0,29500000.0,90.32258064516128
A. Robben,FC Bayern München,34,RM,15500000.0,110000.0,25600000.0,65.16129032258064
O. Dembélé,FC Barcelona,21,RW,40000000.0,155000.0,90000000.0,125.0
Gabriel Jesus,Manchester City,21,ST,41000000.0,130000.0,84100000.0,105.1219512195122
Ronaldo Cabrais,Grêmio,26,RW,28000000.0,51000.0,50400000.0,80.0
Josué Chiamulera,Grêmio,26,LCB,22500000.0,43000.0,40500000.0,80.0
Louri Beretta,Atlético Mineiro,26,ST,28500000.0,60000.0,54200000.0,90.17543859649123
P. Kimpembe,Paris Saint-Germain,22,LCB,30500000.0,82000.0,62500000.0,104.91803278688525
N. Keïta,Liverpool,23,CM,34000000.0,120000.0,67200000.0,97.6470588235294
C. Tolisso,FC Bayern München,23,CM,34000000.0,85000.0,58700000.0,72.6470588235294
T. Lemar,Atlético Madrid,22,LM,35500000.0,64000.0,79900000.0,125.07042253521128
K. Coman,FC Bayern München,22,LM,34000000.0,85000.0,58700000.0,72.6470588235294
J. Tah,Bayer 04 Leverkusen,22,CB,29500000.0,67000.0,52400000.0,77.62711864406779
Anderson Talisca,Guangzhou Evergrande Taobao FC,24,CAM,36500000.0,18000.0,66700000.0,82.73972602739727
T. Werner,RB Leipzig,22,RW,34500000.0,70000.0,61200000.0,77.39130434782608
A. Rabiot,Paris Saint-Germain,23,CM,33000000.0,91000.0,63500000.0,92.42424242424242
L. Goretzka,FC Bayern München,23,CM,34000000.0,85000.0,58700000.0,72.6470588235294
Q. Promes,Sevilla FC,26,RM,30500000.0,28000.0,66300000.0,117.37704918032787
H. Ziyech,Ajax,25,RAM,32500000.0,28000.0,47900000.0,47.38461538461539
Lucas Vázquez,Real Madrid,27,RW,27000000.0,205000.0,55400000.0,105.18518518518518
Y. Carrasco,Dalian YiFang FC,24,LM,33000000.0,20000.0,73400000.0,122.42424242424241
Gerard Moreno,Villarreal CF,26,LS,32000000.0,53000.0,69600000.0,117.5
Felipe,FC Porto,29,RCB,20000000.0,22000.0,40000000.0,100.0
M. Kovačić,Chelsea,24,LCM,35000000.0,165000.0,61100000.0,74.57142857142857
Kepa,Chelsea,23,GK,28500000.0,84000.0,58400000.0,104.91228070175438
Manu Trigueros,Villarreal CF,26,RCM,30000000.0,49000.0,65300000.0,117.66666666666667
S. Gnabry,FC Bayern München,22,ST,34500000.0,85000.0,59500000.0,72.46376811594203
J. Pickford,Everton,24,GK,25000000.0,78000.0,49400000.0,97.6
S. Savić,Atlético Madrid,27,CB,26000000.0,67000.0,55300000.0,112.6923076923077
J. Stones,Manchester City,24,RCB,28500000.0,125000.0,54900000.0,92.63157894736842
Suso,Milan,24,RW,33000000.0,115000.0,58600000.0,77.57575757575758
J. Draxler,Paris Saint-Germain,24,CM,32500000.0,91000.0,62600000.0,92.61538461538461
Felipe Anderson,West Ham United,25,LM,31500000.0,110000.0,62200000.0,97.46031746031746
Lucas Moura,Tottenham Hotspur,25,RM,31000000.0,115000.0,59700000.0,92.58064516129032
Danilo Pereira,FC Porto,26,CDM,27000000.0,21000.0,56000000.0,107.40740740740742
Nacho Fernández,Real Madrid,28,CB,24500000.0,180000.0,52100000.0,112.65306122448979
T. Horn,1. FC Köln,25,GK,24000000.0,25000.0,37800000.0,57.49999999999999
Allan,Napoli,27,RCM,26500000.0,87000.0,45100000.0,70.18867924528301
F. Acerbi,Lazio,30,CB,19000000.0,64000.0,32300000.0,70.0
Sergi Roberto,FC Barcelona,26,RB,26500000.0,170000.0,56300000.0,112.45283018867924
Rodrigo,Valencia CF,27,ST,30500000.0,57000.0,66300000.0,117.37704918032787
Pizzi,SL Benfica,28,LCM,25500000.0,22000.0,51000000.0,100.0
K. Kampl,RB Leipzig,27,LCM,26500000.0,74000.0,45100000.0,70.18867924528301
Neto,Valencia CF,28,GK,21000000.0,41000.0,45700000.0,117.61904761904762
O. Baumann,TSG 1899 Hoffenheim,28,GK,21000000.0,42000.0,37300000.0,77.61904761904762
I. Gueye,Everton,28,RDM,21000000.0,125000.0,39900000.0,90.0
H. Mkhitaryan,Arsenal,29,RM,25500000.0,145000.0,48500000.0,90.19607843137256
Marcos Alonso,Chelsea,27,LB,24000000.0,130000.0,46200000.0,92.5
D. Subašić,AS Monaco,33,GK,13000000.0,70000.0,24700000.0,90.0
K. Glik,AS Monaco,30,RCB,19000000.0,86000.0,36100000.0,90.0
K. Strootman,Olympique de Marseille,28,CDM,21000000.0,66000.0,39900000.0,90.0
B. Dost,Sporting CP,29,ST,26000000.0,26000.0,52000000.0,100.0
Oscar,Shanghai SIPG FC,26,LCM,30500000.0,29000.0,69400000.0,127.54098360655736
M. Balotelli,OGC Nice,27,LS,27500000.0,55000.0,52300000.0,90.18181818181819
Luiz Gustavo,Olympique de Marseille,30,LCB,19000000.0,63000.0,36100000.0,90.0
Giuliano,Al Nassr,28,CAM,26000000.0,64000.0,44200000.0,70.0
David Luiz,Chelsea,31,LCB,17500000.0,130000.0,32400000.0,85.14285714285714
R. Fährmann,FC Schalke 04,29,GK,20000000.0,38000.0,35500000.0,77.5
Juan Mata,Manchester United,30,RM,24500000.0,160000.0,45300000.0,84.89795918367346
Adán,Atlético Madrid,31,GK,15500000.0,55000.0,31800000.0,105.16129032258064
Rui Patrício,Wolverhampton Wanderers,30,GK,16500000.0,74000.0,31400000.0,90.30303030303031
Y. Sommer,Borussia Mönchengladbach,29,GK,20000000.0,35000.0,35500000.0,77.5
Javi Martínez,FC Bayern München,29,CDM,20000000.0,94000.0,33000000.0,65.0
L. Bender,Bayer 04 Leverkusen,29,RB,20000000.0,82000.0,34000000.0,70.0
Lucas Leiva,Lazio,31,LDM,17500000.0,64000.0,29800000.0,70.28571428571428
S. Mandanda,Olympique de Marseille,33,GK,13000000.0,51000.0,24700000.0,90.0
Cesc Fàbregas,Chelsea,31,CM,22000000.0,140000.0,40700000.0,85.0
M. Dembélé,Tottenham Hotspur,30,CM,24000000.0,120000.0,44400000.0,85.0
F. Ribéry,FC Bayern München,35,LM,11500000.0,72000.0,19000000.0,65.21739130434783
R. Jarstein,Hertha BSC,33,GK,13000000.0,33000.0,22100000.0,70.0
J. Pavlenka,SV Werder Bremen,26,GK,19500000.0,30000.0,34600000.0,77.43589743589745
M. de Ligt,Ajax,18,RCB,27000000.0,11000.0,43200000.0,60.0
Rodri,Atlético Madrid,22,CM,29000000.0,59000.0,61600000.0,112.41379310344828
Arthur,FC Barcelona,21,LCM,32500000.0,125000.0,73100000.0,124.92307692307692
G. Donnarumma,Milan,19,GK,29000000.0,23000.0,55100000.0,90.0
Rosberto Dourado,Atlético Mineiro,30,RCM,16500000.0,46000.0,31400000.0,90.30303030303031
Raphaelito Anjos,Grêmio,30,GK,14000000.0,32000.0,25200000.0,80.0
Gelson Martins,Atlético Madrid,23,RM,29500000.0,59000.0,62700000.0,112.54237288135593
Gonçalo Guedes,Valencia CF,21,LM,29000000.0,36000.0,63100000.0,117.58620689655173
L. Torreira,Arsenal,22,LCM,25000000.0,98000.0,49400000.0,97.6
Malcom,FC Barcelona,21,RW,31500000.0,140000.0,70900000.0,125.07936507936508
Pau López,Real Betis,23,GK,21500000.0,21000.0,46800000.0,117.67441860465115
L. Hernández,Atlético Madrid,22,LB,25500000.0,53000.0,57400000.0,125.09803921568627
C. Lenglet,FC Barcelona,23,LCB,26000000.0,135000.0,58500000.0,125.0
A. Kramarić,TSG 1899 Hoffenheim,27,LCM,26000000.0,54000.0,46200000.0,77.6923076923077
A. Robertson,Liverpool,24,LB,24500000.0,98000.0,48400000.0,97.55102040816327
Dani García,Athletic Club de Bilbao,28,RCM,20000000.0,33000.0,43500000.0,117.5
F. Bernardeschi,Juventus,24,RM,29500000.0,110000.0,50900000.0,72.54237288135593
J. Brandt,Bayer 04 Leverkusen,22,LM,30500000.0,68000.0,58000000.0,90.1639344262295
D. Rugani,Juventus,23,CB,24500000.0,95000.0,42300000.0,72.6530612244898
Samu Castillejo,Milan,23,RM,29000000.0,94000.0,51500000.0,77.58620689655173
João Cancelo,Juventus,24,RB,25500000.0,95000.0,47200000.0,85.09803921568627
A. Romagnoli,Milan,23,LCB,26500000.0,84000.0,50400000.0,90.18867924528303
T. Partey,Atlético Madrid,25,CDM,25500000.0,59000.0,57400000.0,125.09803921568627
Fred,Manchester United,25,CM,26500000.0,140000.0,51000000.0,92.45283018867924
J. Vardy,Leicester City,31,ST,20000000.0,96000.0,38000000.0,90.0
A. Belotti,Torino,24,LS,30000000.0,58000.0,53300000.0,77.66666666666666
E. Forsberg,RB Leipzig,26,LM,26000000.0,67000.0,46200000.0,77.6923076923077
J. Lingard,Manchester United,25,CAM,26500000.0,140000.0,51000000.0,92.45283018867924
F. Vázquez,Sevilla FC,29,LCM,21500000.0,27000.0,45200000.0,110.23255813953487
E. Višća,Medipol Başakşehir FK,28,RM,22500000.0,40000.0,42800000.0,90.22222222222223
A. Rüdiger,Chelsea,25,CB,22500000.0,110000.0,43300000.0,92.44444444444444
A. Florenzi,Roma,27,RB,20500000.0,73000.0,36400000.0,77.5609756097561
H. Maguire,Leicester City,25,LCB,23500000.0,77000.0,46400000.0,97.44680851063829
T. Meunier,Paris Saint-Germain,26,RM,21000000.0,87000.0,40400000.0,92.38095238095238
S. Sané,FC Schalke 04,27,CB,18500000.0,41000.0,31500000.0,70.27027027027027
G. Kondogbia,Valencia CF,25,CM,27500000.0,46000.0,59800000.0,117.45454545454545
Rafinha,FC Barcelona,25,CAM,29500000.0,165000.0,62700000.0,112.54237288135593
Gabriel Paulista,Valencia CF,27,LCB,21000000.0,44000.0,45700000.0,117.61904761904762
Morata,Chelsea,25,ST,28500000.0,135000.0,54900000.0,92.63157894736842
J. Cillessen,FC Barcelona,29,GK,18000000.0,135000.0,38300000.0,112.77777777777777
W. Ben Yedder,Sevilla FC,27,RS,23500000.0,28000.0,49400000.0,110.2127659574468
C. Bakambu,Beijing Sinobo Guoan FC,27,ST,26000000.0,33000.0,59200000.0,127.69230769230768
Pablo Sarabia,Sevilla FC,26,RCM,26000000.0,26000.0,56600000.0,117.6923076923077
W. Zaha,Crystal Palace,25,LS,28500000.0,78000.0,56300000.0,97.54385964912281
Luis Alberto,Lazio,25,CF,28500000.0,67000.0,50600000.0,77.54385964912281
Jonathan Viera,Beijing Sinobo Guoan FC,28,LF,22500000.0,31000.0,49500000.0,120.0
Bartra,Real Betis,27,CB,21000000.0,32000.0,45700000.0,117.61904761904762
S. Coates,Sporting CP,27,RCB,21000000.0,19000.0,43600000.0,107.61904761904762
Willian José,Real Sociedad,26,ST,26500000.0,44000.0,57600000.0,117.35849056603773
Mário Fernandes,PFC CSKA Moscow,27,RB,18500000.0,1000.0,40700000.0,120.0
Víctor Ruiz,Villarreal CF,29,LCB,19500000.0,43000.0,42400000.0,117.43589743589745
T. Delaney,Borussia Dortmund,26,LCM,21500000.0,61000.0,38200000.0,77.67441860465117
K. Casteels,VfL Wolfsburg,26,GK,19500000.0,46000.0,34600000.0,77.43589743589745
M. Götze,Borussia Dortmund,26,CM,27000000.0,67000.0,47900000.0,77.4074074074074
S. Mustafi,Arsenal,26,RCB,22500000.0,115000.0,44400000.0,97.33333333333334
J. Pastore,Roma,29,CAM,21500000.0,84000.0,36600000.0,70.23255813953489
Pedro,Chelsea,30,RW,21000000.0,140000.0,38900000.0,85.23809523809524
G. Bonaventura,Milan,28,CM,22000000.0,115000.0,37400000.0,70.0
R. Bürki,Borussia Dortmund,27,GK,18500000.0,50000.0,32800000.0,77.29729729729729
Taison,Shakhtar Donetsk,30,LM,21000000.0,1000.0,44100000.0,110.00000000000001
S. Nzonzi,Roma,29,CDM,17000000.0,77000.0,28900000.0,70.0
Marlos,Shakhtar Donetsk,30,RM,21000000.0,1000.0,44100000.0,110.00000000000001
A. Ramsey,Arsenal,27,CAM,25000000.0,130000.0,49400000.0,97.6
K. Trippier,Tottenham Hotspur,27,RB,18500000.0,99000.0,34200000.0,84.86486486486487
A. Kolarov,Roma,32,LB,12500000.0,73000.0,21300000.0,70.39999999999999
G. Sigurðsson,Everton,28,CAM,22500000.0,125000.0,42800000.0,90.22222222222223
S. Giovinco,Toronto FC,31,CF,20000000.0,15000.0,30000000.0,50.0
M. Arnautović,West Ham United,29,LS,22000000.0,120000.0,41800000.0,90.0
N. Gaitán,Dalian YiFang FC,30,CAM,21000000.0,22000.0,45200000.0,115.23809523809523
J. Henderson,Liverpool,28,RCM,18000000.0,125000.0,34200000.0,90.0
M. Kruse,SV Werder Bremen,30,ST,21500000.0,45000.0,36600000.0,70.23255813953489
L. Fejsa,SL Benfica,29,CDM,17000000.0,18000.0,34000000.0,100.0
A. Rami,Olympique de Marseille,32,RCB,12500000.0,57000.0,23800000.0,90.4
V. Ćorluka,Lokomotiv Moscow,32,LCB,12500000.0,1000.0,26300000.0,110.4
G. Wijnaldum,Liverpool,27,CAM,23000000.0,130000.0,43700000.0,90.0
F. Fazio,Roma,31,LCB,15000000.0,73000.0,25500000.0,70.0
O. Giroud,Chelsea,31,ST,20000000.0,140000.0,37000000.0,85.0
Marcano,Roma,31,CB,15000000.0,73000.0,25500000.0,70.0
A. Guardado,Real Betis,31,CM,19000000.0,35000.0,39900000.0,110.00000000000001
E. Garay,Valencia CF,31,RCB,15000000.0,44000.0,31500000.0,110.00000000000001
Jardel,SL Benfica,32,LCB,12500000.0,17000.0,25000000.0,100.0
S. Sirigu,Torino,31,GK,13500000.0,45000.0,23000000.0,70.37037037037037
E. Viviano,Sporting CP,32,GK,12500000.0,15000.0,25000000.0,100.0
L. Koscielny,Arsenal,32,CB,12500000.0,115000.0,23800000.0,90.4
A. Consigli,Sassuolo,31,GK,13500000.0,52000.0,23000000.0,70.37037037037037
L. Biglia,Milan,32,CDM,12500000.0,98000.0,21300000.0,70.39999999999999
M. Rashford,Manchester United,20,LW,27000000.0,110000.0,55400000.0,105.18518518518518
Laure Santeiro,Fluminense,30,CAM,17000000.0,40000.0,32300000.0,90.0
L. Bailey,Bayer 04 Leverkusen,20,LM,26500000.0,54000.0,50400000.0,90.18867924528303
M. Akanji,Borussia Dortmund,22,LCB,21000000.0,49000.0,39900000.0,90.0
F. de Jong,Ajax,21,LDM,26000000.0,19000.0,41600000.0,60.0
Nélson Semedo,FC Barcelona,24,RB,20000000.0,125000.0,42500000.0,112.5
Pablo Fornals,Villarreal CF,22,CAM,24000000.0,36000.0,52200000.0,117.5
Fabián,Napoli,22,LM,26000000.0,64000.0,49400000.0,90.0
E. Bailly,Manchester United,24,CB,21000000.0,105000.0,43100000.0,105.23809523809524
Dani Ceballos,Real Madrid,21,LCM,25000000.0,120000.0,56300000.0,125.2
H. Lozano,PSV,22,LS,24000000.0,22000.0,35400000.0,47.5
