Name,Club,Age,Position,Overall,Potential,Wage,Contract_Years_Remaining,Financial_Burden,Action
A. Pritchard,Huddersfield Town,25,LS,74,78,37000.0,2.0,3848000.0,🟡 SELL NOW (Peak Age)
Enaldo Praz,Grêmio,30,LB,74,74,22000.0,2.0,2288000.0,🔴 TERMINATE (No Resale Value)
L. Griffiths,Celtic,27,ST,74,74,46000.0,3.0,7176000.0,🟡 SELL NOW (Peak Age)
G. Cunningham,Cardiff City,27,LB,74,75,35000.0,2.0,3640000.0,🟡 SELL NOW (Peak Age)
D. Falcinelli,Bologna,27,LS,74,75,29000.0,3.0,4524000.0,🟡 SELL NOW (Peak Age)
L. Moore,Reading,25,LCB,74,78,26000.0,4.0,5408000.0,🟡 SELL NOW (Peak Age)
Alberto,Rayo Vallecano,33,GK,74,74,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
J. Obi,Chievo Verona,27,LCM,74,75,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
Kel Perinho,Chapecoense,34,RCB,74,74,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
C. Coady,Wolverhampton Wanderers,25,CB,74,77,46000.0,2.0,4784000.0,🟡 SELL NOW (Peak Age)
M. Estigarribia,Club Atlético Colón,30,LCM,74,74,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
E. Sviatchenko,FC Midtjylland,26,LCB,74,77,19000.0,3.0,2964000.0,🟡 SELL NOW (Peak Age)
Hugo Goiteira,Ceará Sporting Club,26,RCB,74,74,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
Fábio Melitinho,Fluminense,34,CAM,74,74,25000.0,2.0,2600000.0,🔴 TERMINATE (No Resale Value)
R. Quaison,1. FSV Mainz 05,24,CF,74,78,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
B. Nuytinck,Udinese,28,LCB,74,76,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
J. Buffarini,Boca Juniors,29,RB,74,74,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
Osvaldo Lodeiro,América FC (Minas Gerais),30,LCB,74,74,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
J. Rodríguez,Santos Laguna,24,LS,74,79,18000.0,4.0,3744000.0,🟡 SELL NOW (Peak Age)
Suk Hyun Jun,Stade de Reims,27,ST,74,75,19000.0,3.0,2964000.0,🟡 SELL NOW (Peak Age)
Fabiano Sonta,Fluminense,26,LCB,74,74,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
A. Ioniţă,Cagliari,27,CAM,74,74,27000.0,2.0,2808000.0,🟡 SELL NOW (Peak Age)
Marlon Nideiro,Grêmio,34,CAM,74,74,25000.0,2.0,2600000.0,🔴 TERMINATE (No Resale Value)
B. Bereszyński,Sampdoria,25,LB,74,77,25000.0,4.0,5200000.0,🟡 SELL NOW (Peak Age)
Jacson Zonta,Vitória,34,RAM,74,74,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
S. Prcić,Levante UD,24,CDM,74,78,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
Leo Caldeirinha,Vitória,34,LAM,74,74,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
T. Sainsbury,PSV,26,RCB,74,77,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
Alvildo Sousa,Sport Club do Recife,34,CAM,74,74,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
F. Đuričić,Sassuolo,26,CAM,74,76,40000.0,3.0,6240000.0,🟡 SELL NOW (Peak Age)
J. Boëtius,1. FSV Mainz 05,24,CAM,74,78,22000.0,3.0,3432000.0,🟡 SELL NOW (Peak Age)
F. Mubele,Toulouse Football Club,24,ST,74,78,23000.0,3.0,3588000.0,🟡 SELL NOW (Peak Age)
A. Chávez,Club Atlético Huracán,27,LS,74,75,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
Robson Denho,Sport Club do Recife,26,RDM,74,74,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
J. Toljan,Borussia Dortmund,23,RB,74,78,30000.0,3.0,4680000.0,🔵 LOAN OUT (Young)
Hélton Celanova,Internacional,26,ST,74,74,25000.0,2.0,2600000.0,🟡 SELL NOW (Peak Age)
Erick Gameira,Atlético Paranaense,26,ST,74,74,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
William,VfL Wolfsburg,23,RB,74,79,28000.0,3.0,4368000.0,🔵 LOAN OUT (Young)
Jadson Vidigal,Grêmio,26,ST,74,74,27000.0,2.0,2808000.0,🟡 SELL NOW (Peak Age)
O. Vranješ,RSC Anderlecht,28,RCB,74,75,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
M. Bauer,Stoke City,26,RB,74,77,34000.0,4.0,7072000.0,🟡 SELL NOW (Peak Age)
J. Córdoba,1. FC Köln,25,RS,74,78,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
Edvaldisco,Botafogo,26,RDM,74,74,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
J. Dueñas,Tigres U.A.N.L.,29,LB,74,74,44000.0,2.0,4576000.0,🟡 SELL NOW (Peak Age)
N. De Préville,FC Girondins de Bordeaux,27,LW,74,74,36000.0,2.0,3744000.0,🟡 SELL NOW (Peak Age)
Diogo Figueiras,SC Braga,27,RB,74,75,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
K. Dolly,Montpellier HSC,25,CAM,74,77,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
P. Barrientos,Deportivo Toluca,33,LS,74,74,21000.0,4.0,4368000.0,🔴 TERMINATE (No Resale Value)
Maurício,Urawa Red Diamonds,26,CB,74,76,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
F. Santander,Bologna,27,ST,74,75,29000.0,3.0,4524000.0,🟡 SELL NOW (Peak Age)
N. Rigoni,Chievo Verona,27,RCM,74,74,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
I. Kahveci,Medipol Başakşehir FK,22,CAM,74,78,19000.0,2.0,1976000.0,🔵 LOAN OUT (Young)
Sebas Couteira,Atlético Paranaense,30,RAM,74,74,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
R. Shawcross,Stoke City,30,RCB,74,74,34000.0,2.0,3536000.0,🔴 TERMINATE (No Resale Value)
B. Martins Indi,Stoke City,26,CB,74,77,34000.0,3.0,5304000.0,🟡 SELL NOW (Peak Age)
Álvaro García,Rayo Vallecano,25,LM,74,75,17000.0,4.0,3536000.0,🟡 SELL NOW (Peak Age)
Kauã Abranches,Paraná,34,RAM,74,74,19000.0,2.0,1976000.0,🔴 TERMINATE (No Resale Value)
H. Seferović,SL Benfica,26,ST,74,76,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
R. Sobhi,Huddersfield Town,21,LM,74,79,29000.0,2.0,3016000.0,🔵 LOAN OUT (Young)
P. Gazzaniga,Tottenham Hotspur,26,GK,74,78,46000.0,3.0,7176000.0,🟡 SELL NOW (Peak Age)
A. Masina,Watford,24,LB,74,79,33000.0,4.0,6864000.0,🟡 SELL NOW (Peak Age)
J. Livermore,West Bromwich Albion,28,RCM,74,74,31000.0,3.0,4836000.0,🟡 SELL NOW (Peak Age)
Nicolás Formido,Internacional,30,LAM,74,74,23000.0,2.0,2392000.0,🔴 TERMINATE (No Resale Value)
Luisinho,SD Huesca,33,LB,74,74,19000.0,2.0,1976000.0,🔴 TERMINATE (No Resale Value)
M. Rits,Club Brugge KV,24,LM,74,78,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
H. Traoré,Stade Rennais FC,26,RB,74,76,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
Rafael,Sampdoria,28,GK,74,77,23000.0,3.0,3588000.0,🟡 SELL NOW (Peak Age)
M. Jojić,Medipol Başakşehir FK,26,CM,74,76,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
J. Tavernier,Rangers FC,26,RB,74,75,39000.0,3.0,6084000.0,🟡 SELL NOW (Peak Age)
S. Morrison,Cardiff City,27,RCB,74,76,35000.0,3.0,5460000.0,🟡 SELL NOW (Peak Age)
J. Brenet,TSG 1899 Hoffenheim,24,LWB,74,77,22000.0,3.0,3432000.0,🟡 SELL NOW (Peak Age)
B. Dack,Blackburn Rovers,24,CAM,74,78,32000.0,2.0,3328000.0,🟡 SELL NOW (Peak Age)
T. Pukki,Norwich City,28,ST,74,74,29000.0,2.0,3016000.0,🟡 SELL NOW (Peak Age)
F. Đorđević,Chievo Verona,30,RS,74,74,17000.0,2.0,1768000.0,🔴 TERMINATE (No Resale Value)
Tana,UD Las Palmas,27,CAM,74,74,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
L. Grabban,Nottingham Forest,30,ST,74,74,45000.0,3.0,7020000.0,🔴 TERMINATE (No Resale Value)
A. Soumaoro,LOSC Lille,26,LCB,74,79,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
A. Pulido,Guadalajara,27,ST,74,75,35000.0,2.0,3640000.0,🟡 SELL NOW (Peak Age)
S. Floccari,SPAL,36,ST,74,74,11000.0,4.0,2288000.0,🔴 TERMINATE (No Resale Value)
S. Prödl,Watford,31,RCB,74,74,39000.0,2.0,4056000.0,🔴 TERMINATE (No Resale Value)
S. Okaka,Watford,28,ST,74,74,48000.0,2.0,4992000.0,🟡 SELL NOW (Peak Age)
A. Oyongo,Montpellier HSC,27,LWB,74,75,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
A. Behich,PSV,27,LB,74,75,13000.0,3.0,2028000.0,🟡 SELL NOW (Peak Age)
D. Gosling,Bournemouth,28,CM,74,74,51000.0,2.0,5304000.0,🟡 SELL NOW (Peak Age)
J. Ralls,Cardiff City,24,RCM,74,79,34000.0,3.0,5304000.0,🟡 SELL NOW (Peak Age)
Dória,Santos Laguna,23,LCB,74,78,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
I. Strinić,Milan,30,LB,74,74,56000.0,2.0,5824000.0,🔴 TERMINATE (No Resale Value)
Adrianiscito,Grêmio,26,GK,74,74,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
A. Lozano,Girona FC,25,ST,74,79,26000.0,3.0,4056000.0,🟡 SELL NOW (Peak Age)
M. Tisserand,VfL Wolfsburg,25,CB,74,79,31000.0,3.0,4836000.0,🟡 SELL NOW (Peak Age)
Bebé,Rayo Vallecano,27,LM,74,74,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
M. Vydra,Burnley,26,CAM,74,76,43000.0,2.0,4472000.0,🟡 SELL NOW (Peak Age)
C. Benavente,Sporting de Charleroi,24,CAM,74,78,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
Padilhisco,Bahia,26,LB,74,74,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
F. Forestieri,Sheffield Wednesday,28,ST,74,74,29000.0,2.0,3016000.0,🟡 SELL NOW (Peak Age)
A. Hack,1. FSV Mainz 05,24,CB,74,78,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
Sequeira,SC Braga,27,LB,74,74,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
M. Gulde,SC Freiburg,27,RCB,74,75,19000.0,3.0,2964000.0,🟡 SELL NOW (Peak Age)
F. Jara,Pachuca,29,ST,74,74,29000.0,3.0,4524000.0,🟡 SELL NOW (Peak Age)
Álex Moreno,Rayo Vallecano,25,LB,74,79,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
G. Burdisso,Independiente,29,CB,74,74,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
V. Misidjan,1. FC Nürnberg,24,RM,74,77,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
R. Haps,Feyenoord,25,LB,74,77,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
Jesus Andradaldo,Internacional,26,RB,74,74,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
P. Mpoku,Standard de Liège,26,LM,74,74,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
M. Le Marchand,Fulham,28,LB,74,74,43000.0,3.0,6708000.0,🟡 SELL NOW (Peak Age)
Nacho,Real Valladolid CF,29,LB,74,74,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
C. Taylor,Burnley,24,LB,74,78,33000.0,2.0,3432000.0,🟡 SELL NOW (Peak Age)
R. Saravia,Racing Club,25,RB,74,77,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
D. Drexler,1. FC Köln,28,LCM,74,74,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
S. Falette,Eintracht Frankfurt,26,CB,74,77,26000.0,2.0,2704000.0,🟡 SELL NOW (Peak Age)
D. Viera,Godoy Cruz,27,RCB,74,74,13000.0,4.0,2704000.0,🟡 SELL NOW (Peak Age)
F. Zampedri,Rosario Central,30,LS,74,74,17000.0,2.0,1768000.0,🔴 TERMINATE (No Resale Value)
M. Diagne,Kasimpaşa SK,26,ST,74,75,15000.0,3.0,2340000.0,🟡 SELL NOW (Peak Age)
A. Bjelland,FC København,29,CB,74,74,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
S. Kittel,FC Ingolstadt 04,25,CAM,74,76,24000.0,3.0,3744000.0,🟡 SELL NOW (Peak Age)
S. Lainer,FC Red Bull Salzburg,25,RB,74,77,26000.0,3.0,4056000.0,🟡 SELL NOW (Peak Age)
Óscar Plano,Real Valladolid CF,27,LM,74,74,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
J. Bryan,Fulham,24,LB,74,78,35000.0,3.0,5460000.0,🟡 SELL NOW (Peak Age)
G. Margreitter,1. FC Nürnberg,29,RCB,74,74,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
Luna,Levante UD,27,LB,74,75,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
Tiago Silva,CD Feirense,25,CAM,74,77,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
F. Bardi,Frosinone,26,GK,74,75,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
Enaldo Toxeto,Grêmio,30,LCB,74,74,22000.0,2.0,2288000.0,🔴 TERMINATE (No Resale Value)
Camilo,Querétaro,29,ST,74,74,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
Welthon,Vitória Guimarães,26,ST,74,76,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
Marc Muniesa,Girona FC,26,CB,74,78,23000.0,2.0,2392000.0,🟡 SELL NOW (Peak Age)
Samu Saiz,Leeds United,27,CAM,74,75,37000.0,2.0,3848000.0,🟡 SELL NOW (Peak Age)
S. Araujo,UD Las Palmas,26,LF,73,76,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
S. March,Brighton & Hove Albion,23,CAM,73,77,31000.0,3.0,4836000.0,🔵 LOAN OUT (Young)
R. Assalé,BSC Young Boys,24,RS,73,78,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
Léo Bonatini,Wolverhampton Wanderers,24,ST,73,78,46000.0,3.0,7176000.0,🟡 SELL NOW (Peak Age)
S. Rybalka,Sivasspor,28,LDM,73,74,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
N. Acevedo,Unión de Santa Fe,29,RCM,73,73,14000.0,4.0,2912000.0,🟡 SELL NOW (Peak Age)
T. Leibold,1. FC Nürnberg,24,LB,73,76,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
A. Clayton,Middlesbrough,29,CDM,73,73,40000.0,2.0,4160000.0,🟡 SELL NOW (Peak Age)
M. Vejinović,AZ Alkmaar,28,CM,73,73,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
Pietrson Mendes,Bahia,34,CAM,73,73,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
J. Ward,Crystal Palace,28,RB,73,73,37000.0,2.0,3848000.0,🟡 SELL NOW (Peak Age)
S. Skrzybski,FC Schalke 04,25,LS,73,74,25000.0,2.0,2600000.0,🟡 SELL NOW (Peak Age)
A. Ba,Rayo Vallecano,27,CB,73,75,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
S. von Bergen,BSC Young Boys,35,LCB,73,73,12000.0,3.0,1872000.0,🔴 TERMINATE (No Resale Value)
G. Silva,Independiente,24,CB,73,78,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
Freder Cabral,Atlético Mineiro,26,GK,73,73,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
J. Gómez,Al Fayha,28,CAM,73,73,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
R. Fredericks,West Ham United,25,RB,73,75,46000.0,3.0,7176000.0,🟡 SELL NOW (Peak Age)
Luis Couprins,Atlético Paranaense,30,RDM,73,73,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
M. Hawsawi,Al Ahli,26,CB,73,76,27000.0,3.0,4212000.0,🟡 SELL NOW (Peak Age)
B. Assombalonga,Middlesbrough,25,ST,73,76,43000.0,2.0,4472000.0,🟡 SELL NOW (Peak Age)
L. Ayling,Leeds United,26,RB,73,74,31000.0,2.0,3224000.0,🟡 SELL NOW (Peak Age)
K. Saief,RSC Anderlecht,24,LM,73,76,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
S. Thioub,Nîmes Olympique,23,RM,73,78,14000.0,2.0,1456000.0,🔵 LOAN OUT (Young)
J. Basanta,Monterrey,34,CB,73,73,31000.0,4.0,6448000.0,🔴 TERMINATE (No Resale Value)
Diego Farías,Cagliari,28,CF,73,73,28000.0,2.0,2912000.0,🟡 SELL NOW (Peak Age)
Marcos Paneira,Bahia,30,LDM,73,73,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
K. Bartley,West Bromwich Albion,27,CB,73,75,25000.0,2.0,2600000.0,🟡 SELL NOW (Peak Age)
K. Monnet-Paquet,AS Saint-Étienne,29,LM,73,73,26000.0,2.0,2704000.0,🟡 SELL NOW (Peak Age)
B. Ramselaar,PSV,22,CAM,73,79,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
F. Diedhiou,Bristol City,25,LS,73,77,35000.0,2.0,3640000.0,🟡 SELL NOW (Peak Age)
N. Al Abed,Al Hilal,28,LM,73,73,31000.0,2.0,3224000.0,🟡 SELL NOW (Peak Age)
Juli Piresinho,Bahia,30,RB,73,73,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
J. Schlupp,Crystal Palace,25,LB,73,76,34000.0,2.0,3536000.0,🟡 SELL NOW (Peak Age)
Vinicius Cardenha,Fluminense,26,RB,73,73,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
B. Lozano,Santos Laguna,24,LM,73,78,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
B. Johnsen,AZ Alkmaar,26,LS,73,74,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
C. Buchtmann,FC St. Pauli,26,CM,73,76,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
E. Álvarez,Club América,20,CB,73,79,29000.0,2.0,3016000.0,🔵 LOAN OUT (Young)
Ignasi Miquel,Getafe CF,25,CB,73,77,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
Orlando Sá,Standard de Liège,30,ST,73,73,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
T. Ince,Stoke City,26,RW,73,74,37000.0,3.0,5772000.0,🟡 SELL NOW (Peak Age)
C. Clemens,1. FC Köln,26,RM,73,73,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
F. Dionisi,Frosinone,31,ST,73,73,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
H. Harbaoui,SV Zulte-Waregem,33,ST,73,73,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
Ailton Valpaços,Atlético Mineiro,26,LCB,73,73,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
T. Xhaka,FC Basel 1893,27,LDM,73,75,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
E. Mena,Racing Club,29,LB,73,73,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
Douglas Armeira,América FC (Minas Gerais),26,RB,73,73,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
K. Phillips,Leeds United,22,CDM,73,79,26000.0,2.0,2704000.0,🔵 LOAN OUT (Young)
Y. Mokhtar,MKE Ankaragücü,26,LM,73,73,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
B. Dejaegere,KAA Gent,27,CAM,73,74,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
Miguel Veloso,Genoa,32,CDM,73,73,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
B. Zuculini,River Plate,25,CDM,73,76,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
G. Toledo,Club Atlético Colón,28,RB,73,73,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
A. Grünwald,FK Austria Wien,29,CAM,73,73,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
S. Clucas,Stoke City,27,LM,73,73,34000.0,3.0,5304000.0,🟡 SELL NOW (Peak Age)
Xeka,LOSC Lille,23,LDM,73,79,19000.0,2.0,1976000.0,🔵 LOAN OUT (Young)
G. Caprari,Sampdoria,24,CF,73,78,25000.0,3.0,3900000.0,🟡 SELL NOW (Peak Age)
K. Long,Burnley,27,LCB,73,73,36000.0,2.0,3744000.0,🟡 SELL NOW (Peak Age)
Samir,Udinese,23,LB,73,77,17000.0,2.0,1768000.0,🔵 LOAN OUT (Young)
F. Barba,Chievo Verona,24,LB,73,79,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
R. Morioka,RSC Anderlecht,27,CAM,73,74,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
Cristiano,Kashiwa Reysol,31,LS,73,73,11000.0,3.0,1716000.0,🔴 TERMINATE (No Resale Value)
K. Möhwald,SV Werder Bremen,24,CM,73,77,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
D. Ndongala,KRC Genk,27,RM,73,73,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
J. Stryger Larsen,Udinese,27,LB,73,75,19000.0,3.0,2964000.0,🟡 SELL NOW (Peak Age)
S. Arfield,Rangers FC,29,LCM,73,73,41000.0,2.0,4264000.0,🟡 SELL NOW (Peak Age)
S. Ribas,Club Atlético Lanús,30,LS,73,73,17000.0,2.0,1768000.0,🔴 TERMINATE (No Resale Value)
Gus Outomouro,Internacional,34,ST,73,73,23000.0,2.0,2392000.0,🔴 TERMINATE (No Resale Value)
R. Czichos,1. FC Köln,28,LCB,73,73,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
C. Doukouré,Levante UD,25,RDM,73,78,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
Juliano Mascarinhas,Grêmio,34,LCM,73,73,21000.0,2.0,2184000.0,🔴 TERMINATE (No Resale Value)
S. Schrijvers,Club Brugge KV,21,RS,73,79,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
A. Smithies,Cardiff City,28,GK,73,75,28000.0,3.0,4368000.0,🟡 SELL NOW (Peak Age)
A. Maxim,1. FSV Mainz 05,27,LM,73,73,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
N. Navarro,San Lorenzo de Almagro,33,GK,73,73,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
S. Dewaest,KRC Genk,27,RCB,73,74,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
C. Mathenia,1. FC Nürnberg,26,GK,73,76,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
M. Knoll,FC St. Pauli,27,LDM,73,73,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
R. Christie,Celtic,23,LCM,73,78,34000.0,3.0,5304000.0,🔵 LOAN OUT (Young)
T. Foket,Stade de Reims,23,RB,73,78,12000.0,4.0,2496000.0,🔵 LOAN OUT (Young)
F. Sørensen,1. FC Köln,26,CB,73,76,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
D. Ward,Leicester City,25,GK,73,76,32000.0,3.0,4992000.0,🟡 SELL NOW (Peak Age)
L. Diony,AS Saint-Étienne,25,LM,73,76,26000.0,2.0,2704000.0,🟡 SELL NOW (Peak Age)
R. Krunić,Empoli,24,RCM,73,78,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
B. Dibassy,Amiens SC,28,LB,73,73,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
Benjamin Meseira,Chapecoense,34,RB,73,73,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
C. Ninga,Stade Malherbe Caen,25,LW,73,78,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
W. Saïd,Dijon FCO,23,LM,73,79,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
T. Murg,SK Rapid Wien,23,RM,73,77,14000.0,3.0,2184000.0,🔵 LOAN OUT (Young)
