Name,Club,Overall,Position,Value,Wage,Fair_Wage,Wage_Delta_Pct,Wage_Status
S. Handanovič,Inter,88,GK,30000000.0,110000.0,78008.0317963608,41.01112086400786,Avoid (Overpaid)
G. Buffon,Paris Saint-Germain,88,GK,4000000.0,77000.0,17605.086771598606,337.37358979803605,Avoid (Overpaid)
S. Umtiti,FC Barcelona,87,CB,57000000.0,205000.0,125338.46071861267,63.557138666501636,Avoid (Overpaid)
M. Icardi,Inter,87,ST,64500000.0,130000.0,137324.20450979847,-5.333513153011467,Normal Market
K. Koulibaly,Napoli,87,LCB,51000000.0,115000.0,115450.69042919995,-0.39037482367967147,Normal Market
P. Pogba,Manchester United,87,RDM,64000000.0,210000.0,136536.92470789648,53.8045480731813,Avoid (Overpaid)
K. Navas,Real Madrid,87,GK,30500000.0,195000.0,78966.5032186749,146.94014810305563,Avoid (Overpaid)
R. Lukaku,Manchester United,87,ST,62500000.0,230000.0,134165.37210654852,71.43022554086731,Avoid (Overpaid)
C. Immobile,Lazio,87,ST,52000000.0,115000.0,117118.90826095096,-1.8091939998534268,Normal Market
Jordi Alba,FC Barcelona,87,LB,38000000.0,250000.0,92893.84719811,169.12439040966584,Avoid (Overpaid)
D. Mertens,Napoli,87,RF,45000000.0,135000.0,105253.5439531608,28.261714455977614,Normal Market
J. Vertonghen,Tottenham Hotspur,87,LCB,34000000.0,155000.0,85565.58564831487,81.14759435770024,Avoid (Overpaid)
M. Hamšík,Napoli,87,LCM,46500000.0,125000.0,107834.48287101103,15.918393330194702,Normal Market
I. Rakitić,FC Barcelona,87,RCM,46500000.0,260000.0,107834.48287101103,141.110258126805,Avoid (Overpaid)
Piqué,FC Barcelona,87,RCB,34000000.0,240000.0,85565.58564831487,180.48659771514878,Avoid (Overpaid)
L. Sané,Manchester City,86,LW,61000000.0,195000.0,131778.90478160465,47.97512570253243,Avoid (Overpaid)
Bernardo Silva,Manchester City,86,RW,59500000.0,180000.0,129377.05860212346,39.128220988203594,Avoid (Overpaid)
Ederson,Manchester City,86,GK,41500000.0,125000.0,99141.85025231351,26.08197212567463,Normal Market
S. Mané,Liverpool,86,LM,52000000.0,195000.0,117118.90826095096,66.49745365242245,Avoid (Overpaid)
V. van Dijk,Liverpool,86,LCB,44500000.0,165000.0,104388.26178129265,58.06374891623067,Avoid (Overpaid)
R. Sterling,Manchester City,86,RW,56500000.0,195000.0,124525.23814314046,56.594761758937196,Avoid (Overpaid)
Roberto Firmino,Liverpool,86,CAM,53000000.0,195000.0,118778.76715039149,64.17075600145029,Avoid (Overpaid)
R. Varane,Real Madrid,86,RCB,50000000.0,210000.0,113773.90638790008,84.57659288240245,Avoid (Overpaid)
M. Verratti,Paris Saint-Germain,86,LCM,55000000.0,135000.0,122074.19358980267,10.588483962164032,Normal Market
Alex Sandro,Juventus,86,LB,36500000.0,160000.0,90170.54174437241,77.44154233162924,Avoid (Overpaid)
Douglas Costa,Juventus,86,LM,46500000.0,175000.0,107834.48287101103,62.28575066227259,Avoid (Overpaid)
T. Müller,FC Bayern München,86,CAM,45000000.0,135000.0,105253.5439531608,28.261714455977614,Normal Market
Thiago,FC Bayern München,86,CM,45500000.0,130000.0,106116.31853071172,22.507076951011985,Normal Market
M. Reus,Borussia Dortmund,86,LM,43500000.0,100000.0,102650.03138642517,-2.581617706914424,Normal Market
Azpilicueta,Chelsea,86,RB,35000000.0,175000.0,87417.83755155026,100.18797639189208,Avoid (Overpaid)
L. Bonucci,Juventus,86,RCB,30000000.0,160000.0,78008.0317963608,105.10708489310234,Avoid (Overpaid)
T. Alderweireld,Tottenham Hotspur,86,RCB,39000000.0,150000.0,94693.77625790678,58.40534185843628,Avoid (Overpaid)
M. Pjanić,Juventus,86,CDM,44000000.0,180000.0,103520.43642702868,73.87871053546185,Avoid (Overpaid)
M. Benatia,Juventus,86,CB,30000000.0,160000.0,78008.0317963608,105.10708489310234,Avoid (Overpaid)
M. Özil,Arsenal,86,CAM,43500000.0,190000.0,102650.03138642517,85.0949263568626,Avoid (Overpaid)
Fernandinho,Manchester City,86,CDM,18000000.0,185000.0,53485.48905401053,245.8882086937336,Avoid (Overpaid)
Iniesta,Vissel Kobe,86,LF,21500000.0,21000.0,60988.32387715079,-65.56717964195828,Target (Underpaid)
M. Škriniar,Inter,85,LCB,46500000.0,82000.0,107834.48287101103,-23.957533975392277,Normal Market
S. Milinković-Savić,Lazio,85,CM,50500000.0,73000.0,114613.38249902843,-36.30761224535118,Target (Underpaid)
Marco Asensio,Real Madrid,85,RW,54000000.0,215000.0,120430.46554213138,78.52625499050689,Avoid (Overpaid)
N. Fekir,Olympique Lyonnais,85,CAM,50000000.0,92000.0,113773.90638790008,-19.137873594376067,Normal Market
Alisson,Liverpool,85,GK,36500000.0,115000.0,90170.54174437241,27.536108550858522,Normal Market
J. Kimmich,FC Bayern München,85,RCM,40500000.0,92000.0,97371.25907349627,-5.516267453666201,Normal Market
Saúl,Atlético Madrid,85,RCM,50500000.0,77000.0,114613.38249902843,-32.81761839578138,Target (Underpaid)
R. Mahrez,Manchester City,85,RW,40500000.0,205000.0,97371.25907349627,110.53440404346118,Avoid (Overpaid)
D. Alaba,FC Bayern München,85,LB,38000000.0,110000.0,92893.84719811,18.414731780252975,Normal Market
Koke,Atlético Madrid,85,LM,45000000.0,88000.0,105253.5439531608,-16.392363910177554,Normal Market
A. Lacazette,Arsenal,85,ST,45000000.0,180000.0,105253.5439531608,71.01561927463682,Avoid (Overpaid)
K. Manolas,Roma,85,LCB,37500000.0,96000.0,91989.25259343382,4.360017386261998,Normal Market
N. Otamendi,Manchester City,85,CB,28500000.0,170000.0,75107.16512755315,126.34325195378105,Avoid (Overpaid)
Parejo,Valencia CF,85,RCM,37000000.0,66000.0,91081.50207055302,-27.53742692025932,Normal Market
Paulinho,Guangzhou Evergrande Taobao FC,85,LDM,37000000.0,235000.0,91081.50207055302,158.01067687483425,Avoid (Overpaid)
W. Szczęsny,Juventus,85,GK,32000000.0,125000.0,81817.67424977996,52.77872555798807,Avoid (Overpaid)
A. Sánchez,Manchester United,85,RW,37500000.0,215000.0,91989.25259343382,133.72295560464926,Avoid (Overpaid)
Y. Brahimi,FC Porto,85,LM,39000000.0,28000.0,94693.77625790678,-70.4310028530919,Target (Underpaid)
J. Boateng,FC Bayern München,85,RCB,30000000.0,115000.0,78008.0317963608,47.42071726691731,Avoid (Overpaid)
A. Vidal,FC Barcelona,85,CAM,26000000.0,205000.0,70181.72340621173,192.09884005478213,Avoid (Overpaid)
I. Perišić,Inter,85,LM,37500000.0,110000.0,91989.25259343382,19.579186588425205,Normal Market
E. Džeko,Roma,85,ST,30500000.0,115000.0,78966.5032186749,45.63136939410974,Avoid (Overpaid)
S. Khedira,Juventus,85,RCM,33000000.0,160000.0,83699.04732462612,91.16107663620257,Avoid (Overpaid)
Diego Costa,Atlético Madrid,85,LS,38500000.0,100000.0,93795.3381690757,6.615106840107307,Normal Market
R. Nainggolan,Inter,85,CAM,35500000.0,105000.0,88338.76770463288,18.860612082653418,Normal Market
Naldo,FC Schalke 04,85,CB,9000000.0,38000.0,32050.365348957537,18.563391044888604,Normal Market
B. Matuidi,Juventus,85,LM,26000000.0,145000.0,70181.72340621173,106.60649662411419,Avoid (Overpaid)
Miranda,Inter,85,CB,15500000.0,96000.0,47891.370570386345,100.45364928303316,Avoid (Overpaid)
K. Benzema,Real Madrid,85,ST,37000000.0,240000.0,91081.50207055302,163.50026574451155,Avoid (Overpaid)
Filipe Luís,Atlético Madrid,85,LB,21500000.0,81000.0,60988.32387715079,32.8123070953038,Avoid (Overpaid)
V. Kompany,Manchester City,85,CB,22000000.0,170000.0,62033.04610750335,174.04748060475666,Avoid (Overpaid)
Pepe,Beşiktaş JK,85,RCB,9000000.0,57000.0,32050.365348957537,77.8450865673329,Avoid (Overpaid)
Z. Ibrahimović,LA Galaxy,85,RS,14000000.0,15000.0,44422.12221917591,-66.23304054229791,Target (Underpaid)
D. Sánchez,Tottenham Hotspur,84,RCB,34000000.0,105000.0,85565.58564831487,22.71288650037759,Normal Market
J. Giménez,Atlético Madrid,84,RCB,34000000.0,63000.0,85565.58564831487,-26.372268099773443,Normal Market
Alex Telles,FC Porto,84,LB,32000000.0,22000.0,81817.67424977996,-73.1109443017941,Target (Underpaid)
A. Laporte,Manchester City,84,LCB,34000000.0,135000.0,85565.58564831487,57.77371121477118,Avoid (Overpaid)
Bruno Fernandes,Sporting CP,84,LCM,40500000.0,22000.0,97371.25907349627,-77.40606395631148,Target (Underpaid)
N. Süle,FC Bayern München,84,CB,36500000.0,84000.0,90170.54174437241,-6.843190275894645,Normal Market
A. Martial,Manchester United,84,LW,42500000.0,165000.0,100901.33144309274,63.52608795163245,Avoid (Overpaid)
D. Alli,Tottenham Hotspur,84,LCM,42500000.0,115000.0,100901.33144309274,13.97272796628928,Normal Market
Fabinho,Liverpool,84,CDM,34000000.0,120000.0,85565.58564831487,40.24329885757439,Avoid (Overpaid)
Marquinhos,Paris Saint-Germain,84,LDM,35500000.0,90000.0,88338.76770463288,1.8805246422743591,Normal Market
William Carvalho,Real Betis,84,CDM,31500000.0,38000.0,80871.24279316196,-53.01172742307223,Target (Underpaid)
Jorginho,Chelsea,84,CM,38000000.0,155000.0,92893.84719811,66.85712205399282,Avoid (Overpaid)
F. Thauvin,Olympique de Marseille,84,RM,39000000.0,72000.0,94693.77625790678,-23.965435907950585,Normal Market
Carvajal,Real Madrid,84,RB,31500000.0,185000.0,80871.24279316196,128.75869544030627,Avoid (Overpaid)
M. Depay,Olympique Lyonnais,84,ST,42000000.0,93000.0,100022.95863505182,-7.021346629703384,Normal Market
H. Son,Tottenham Hotspur,84,LM,37000000.0,125000.0,91081.50207055302,37.2397217419331,Avoid (Overpaid)
A. Lopes,Olympique Lyonnais,84,GK,25000000.0,72000.0,68177.28193955572,5.607026199480071,Normal Market
S. de Vrij,Inter,84,CB,31500000.0,88000.0,80871.24279316196,8.814947020253792,Normal Market
M. Perin,Juventus,84,GK,29500000.0,105000.0,77045.37862162177,36.28332014002606,Avoid (Overpaid)
J. Cuadrado,Juventus,84,RAM,29500000.0,150000.0,77045.37862162177,94.69045734289439,Avoid (Overpaid)
Iago Aspas,RC Celta,84,ST,30000000.0,45000.0,78008.0317963608,-42.31363237381497,Target (Underpaid)
B. Leno,Arsenal,84,GK,27000000.0,115000.0,72166.1237101641,59.35454765710666,Avoid (Overpaid)
N. Matić,Manchester United,84,CDM,24000000.0,165000.0,66151.78244394621,149.42638566060248,Avoid (Overpaid)
L. Hrádecký,Bayer 04 Leverkusen,84,GK,22000000.0,74000.0,62033.04610750335,19.29125626324701,Normal Market
Illarramendi,Real Sociedad,84,RDM,31000000.0,51000.0,79920.87917048554,-36.18688817072711,Target (Underpaid)
K. Walker,Manchester City,84,RB,24500000.0,165000.0,67167.23161578942,145.65550199215357,Avoid (Overpaid)
I. Gündoğan,Manchester City,84,CM,32000000.0,175000.0,81817.67424977996,113.8902157811833,Avoid (Overpaid)
José Callejón,Napoli,84,RM,27500000.0,105000.0,73151.1027277252,43.53850603020871,Avoid (Overpaid)
A. Di María,Paris Saint-Germain,84,RM,29500000.0,125000.0,77045.37862162177,62.242047785745314,Avoid (Overpaid)
M. Mandžukić,Juventus,84,ST,25000000.0,160000.0,68177.28193955572,134.68228044328905,Avoid (Overpaid)
Willian,Chelsea,84,RW,30500000.0,175000.0,78966.5032186749,121.61295342581917,Avoid (Overpaid)
Sergio Asenjo,Villarreal CF,84,GK,24000000.0,42000.0,66151.78244394621,-36.5096472863921,Target (Underpaid)
E. Banega,Sevilla FC,84,CDM,29000000.0,31000.0,76078.45409797481,-59.25258949126674,Target (Underpaid)
A. Witsel,Borussia Dortmund,84,LCM,24000000.0,77000.0,66151.78244394621,16.39897997494782,Normal Market
D. Payet,Olympique de Marseille,84,CAM,27500000.0,75000.0,73151.1027277252,2.527504307291932,Normal Market
Jonas,SL Benfica,84,ST,16500000.0,25000.0,50155.38033886238,-50.15489897376173,Target (Underpaid)
Sokratis,Arsenal,84,RCB,23000000.0,140000.0,64104.111647018486,118.39472758142723,Avoid (Overpaid)
S. Ruffier,AS Saint-Étienne,84,GK,19000000.0,41000.0,55665.224232373715,-26.34539685163925,Normal Market
Falcao,AS Monaco,84,RS,25000000.0,115000.0,68177.28193955572,68.67788906861401,Avoid (Overpaid)
K. Schmeichel,Leicester City,84,GK,19000000.0,78000.0,55665.224232373715,40.12339135541801,Avoid (Overpaid)
Raúl Albiol,Napoli,84,RCB,18000000.0,88000.0,53485.48905401053,64.53060737864085,Avoid (Overpaid)
A. Gómez,Atalanta,84,LS,30000000.0,53000.0,78008.0317963608,-32.05827812915985,Target (Underpaid)
A. Barzagli,Juventus,84,CB,4200000.0,95000.0,18251.264823823625,420.51187091425686,Avoid (Overpaid)
Quaresma,Beşiktaş JK,84,RM,15500000.0,80000.0,47891.370570386345,67.04470773586097,Avoid (Overpaid)
A. Robben,FC Bayern München,84,RM,15500000.0,110000.0,47891.370570386345,129.68647313680884,Avoid (Overpaid)
O. Dembélé,FC Barcelona,83,RW,40000000.0,155000.0,96481.68951137905,60.652244778237744,Avoid (Overpaid)
Gabriel Jesus,Manchester City,83,ST,41000000.0,130000.0,98257.96466006922,32.304796308110724,Avoid (Overpaid)
Ronaldo Cabrais,Grêmio,83,RW,28000000.0,51000.0,74131.4149102806,-31.203255648466943,Target (Underpaid)
Josué Chiamulera,Grêmio,83,LCB,22500000.0,43000.0,63071.58441731427,-31.823498018553444,Target (Underpaid)
Louri Beretta,Atlético Mineiro,83,ST,28500000.0,60000.0,75107.16512755315,-20.114146369253746,Normal Market
P. Kimpembe,Paris Saint-Germain,83,LCB,30500000.0,82000.0,78966.5032186749,3.8414981766695515,Normal Market
N. Keïta,Liverpool,83,CM,34000000.0,120000.0,85565.58564831487,40.24329885757439,Avoid (Overpaid)
C. Tolisso,FC Bayern München,83,CM,34000000.0,85000.0,85565.58564831487,-0.6609966425514742,Normal Market
T. Lemar,Atlético Madrid,83,LM,35500000.0,64000.0,88338.76770463288,-27.551626921049344,Normal Market
K. Coman,FC Bayern München,83,LM,34000000.0,85000.0,85565.58564831487,-0.6609966425514742,Normal Market
J. Tah,Bayer 04 Leverkusen,83,CB,29500000.0,67000.0,77045.37862162177,-13.03826238684051,Normal Market
Anderson Talisca,Guangzhou Evergrande Taobao FC,83,CAM,36500000.0,18000.0,90170.54174437241,-80.03782648769172,Target (Underpaid)
T. Werner,RB Leipzig,83,RW,34500000.0,70000.0,86493.46455030727,-19.069029823304348,Normal Market
A. Rabiot,Paris Saint-Germain,83,CM,33000000.0,91000.0,83699.04732462612,8.72286233684021,Normal Market
L. Goretzka,FC Bayern München,83,CM,34000000.0,85000.0,85565.58564831487,-0.6609966425514742,Normal Market
Q. Promes,Sevilla FC,83,RM,30500000.0,28000.0,78966.5032186749,-64.54192745186893,Target (Underpaid)
H. Ziyech,Ajax,83,RAM,32500000.0,28000.0,82760.25087659869,-66.16733310565968,Target (Underpaid)
Lucas Vázquez,Real Madrid,83,RW,27000000.0,205000.0,72166.1237101641,184.06680234527707,Avoid (Overpaid)
Y. Carrasco,Dalian YiFang FC,83,LM,33000000.0,20000.0,83699.04732462612,-76.10486542047468,Target (Underpaid)
Gerard Moreno,Villarreal CF,83,LS,32000000.0,53000.0,81817.67424977996,-35.22182036341305,Target (Underpaid)
Felipe,FC Porto,83,RCB,20000000.0,22000.0,57815.184137173244,-61.94771264966926,Target (Underpaid)
M. Kovačić,Chelsea,83,LCM,35000000.0,165000.0,87417.83755155026,88.74866345521254,Avoid (Overpaid)
Kepa,Chelsea,83,GK,28500000.0,84000.0,75107.16512755315,11.840195083044755,Normal Market
Manu Trigueros,Villarreal CF,83,RCM,30000000.0,49000.0,78008.0317963608,-37.185955251487414,Target (Underpaid)
S. Gnabry,FC Bayern München,83,ST,34500000.0,85000.0,86493.46455030727,-1.726679071155281,Normal Market
J. Pickford,Everton,83,GK,25000000.0,78000.0,68177.28193955572,14.40761171610341,Normal Market
S. Savić,Atlético Madrid,83,CB,26000000.0,67000.0,70181.72340621173,-4.533549835754138,Normal Market
J. Stones,Manchester City,83,RCB,28500000.0,125000.0,75107.16512755315,66.42886173072135,Avoid (Overpaid)
Suso,Milan,83,RW,33000000.0,115000.0,83699.04732462612,37.39702383227059,Avoid (Overpaid)
J. Draxler,Paris Saint-Germain,83,CM,32500000.0,91000.0,82760.25087659869,9.956167406606047,Normal Market
Felipe Anderson,West Ham United,83,LM,31500000.0,110000.0,80871.24279316196,36.01868377531724,Avoid (Overpaid)
Lucas Moura,Tottenham Hotspur,83,RM,31000000.0,115000.0,79920.87917048554,43.892310987576124,Avoid (Overpaid)
Danilo Pereira,FC Porto,83,CDM,27000000.0,21000.0,72166.1237101641,-70.90047390609357,Target (Underpaid)
Nacho Fernández,Real Madrid,83,CB,24500000.0,180000.0,67167.23161578942,167.98782035507665,Avoid (Overpaid)
T. Horn,1. FC Köln,83,GK,24000000.0,25000.0,66151.78244394621,-62.208123384757194,Target (Underpaid)
Allan,Napoli,83,RCM,26500000.0,87000.0,71176.36858521638,22.231580128787655,Normal Market
F. Acerbi,Lazio,83,CB,19000000.0,64000.0,55665.224232373715,14.9730390608558,Normal Market
Sergi Roberto,FC Barcelona,83,RB,26500000.0,170000.0,71176.36858521638,138.84331749303337,Avoid (Overpaid)
Rodrigo,Valencia CF,83,ST,30500000.0,57000.0,78966.5032186749,-27.817495169876043,Normal Market
Pizzi,SL Benfica,83,LCM,25500000.0,22000.0,69182.06925823749,-68.19985259781679,Target (Underpaid)
K. Kampl,RB Leipzig,83,LCM,26500000.0,74000.0,71176.36858521638,3.9670911440262824,Normal Market
Neto,Valencia CF,83,GK,21000000.0,41000.0,59937.23576687942,-31.59511032596519,Target (Underpaid)
O. Baumann,TSG 1899 Hoffenheim,83,GK,21000000.0,42000.0,59937.23576687942,-29.92669838269605,Normal Market
I. Gueye,Everton,83,RDM,21000000.0,125000.0,59937.23576687942,108.55149290864273,Avoid (Overpaid)
H. Mkhitaryan,Arsenal,83,RM,25500000.0,145000.0,69182.06925823749,109.59188060529846,Avoid (Overpaid)
Marcos Alonso,Chelsea,83,LB,24000000.0,130000.0,66151.78244394621,96.51775839926256,Avoid (Overpaid)
D. Subašić,AS Monaco,83,GK,13000000.0,70000.0,42055.32969357614,66.44739325558622,Avoid (Overpaid)
K. Glik,AS Monaco,83,RCB,19000000.0,86000.0,55665.224232373715,54.495021238024975,Avoid (Overpaid)
K. Strootman,Olympique de Marseille,83,CDM,21000000.0,66000.0,59937.23576687942,10.115188255763352,Normal Market
B. Dost,Sporting CP,83,ST,26000000.0,26000.0,70181.72340621173,-62.95331784671057,Target (Underpaid)
Oscar,Shanghai SIPG FC,83,LCM,30500000.0,29000.0,78966.5032186749,-63.27556771800711,Target (Underpaid)
M. Balotelli,OGC Nice,83,LS,27500000.0,55000.0,73151.1027277252,-24.813163507985916,Normal Market
Luiz Gustavo,Olympique de Marseille,83,LCB,19000000.0,63000.0,55665.224232373715,13.176585325529928,Normal Market
Giuliano,Al Nassr,83,CAM,26000000.0,64000.0,70181.72340621173,-8.808167007287535,Normal Market
David Luiz,Chelsea,83,LCB,17500000.0,130000.0,52383.80878809442,148.16828521553757,Avoid (Overpaid)
R. Fährmann,FC Schalke 04,83,GK,20000000.0,38000.0,57815.184137173244,-34.27332184942872,Target (Underpaid)
Juan Mata,Manchester United,83,RM,24500000.0,160000.0,67167.23161578942,138.21139587117923,Avoid (Overpaid)
Adán,Atlético Madrid,83,GK,15500000.0,55000.0,47891.370570386345,14.843236568404414,Normal Market
Rui Patrício,Wolverhampton Wanderers,83,GK,16500000.0,74000.0,50155.38033886238,47.54149903766528,Avoid (Overpaid)
Y. Sommer,Borussia Mönchengladbach,83,GK,20000000.0,35000.0,57815.184137173244,-39.46227012447382,Target (Underpaid)
Javi Martínez,FC Bayern München,83,CDM,20000000.0,94000.0,57815.184137173244,62.58704595141317,Avoid (Overpaid)
L. Bender,Bayer 04 Leverkusen,83,RB,20000000.0,82000.0,57815.184137173244,41.83125285123276,Avoid (Overpaid)
Lucas Leiva,Lazio,83,LDM,17500000.0,64000.0,52383.80878809442,22.175155798418494,Normal Market
S. Mandanda,Olympique de Marseille,83,GK,13000000.0,51000.0,42055.32969357614,21.26881508621282,Normal Market
Cesc Fàbregas,Chelsea,83,CM,22000000.0,140000.0,62033.04610750335,125.6861604980349,Avoid (Overpaid)
M. Dembélé,Tottenham Hotspur,83,CM,24000000.0,120000.0,66151.78244394621,81.40100775316543,Avoid (Overpaid)
F. Ribéry,FC Bayern München,83,LM,11500000.0,72000.0,38413.413338757826,87.43452805157112,Avoid (Overpaid)
R. Jarstein,Hertha BSC,83,GK,13000000.0,33000.0,42055.32969357614,-21.53194317950935,Normal Market
D. De Rossi,Roma,83,RDM,8000000.0,80000.0,29379.28056560728,172.30074549086007,Avoid (Overpaid)
Pepe Reina,Milan,83,GK,6000000.0,56000.0,23753.935737680138,135.75040624181247,Avoid (Overpaid)
J. Pavlenka,SV Werder Bremen,82,GK,19500000.0,30000.0,56743.80432931239,-47.13079189069674,Target (Underpaid)
M. de Ligt,Ajax,82,RCB,27000000.0,11000.0,72166.1237101641,-84.75739109366806,Target (Underpaid)
Rodri,Atlético Madrid,82,CM,29000000.0,59000.0,76078.45409797481,-22.44847677370121,Normal Market
Arthur,FC Barcelona,82,LCM,32500000.0,125000.0,82760.25087659869,51.03869149259073,Avoid (Overpaid)
G. Donnarumma,Milan,82,GK,29000000.0,23000.0,76078.45409797481,-69.76805026771403,Target (Underpaid)
Rosberto Dourado,Atlético Mineiro,82,RCM,16500000.0,46000.0,50155.38033886238,-8.28501411172158,Normal Market
Juiano Mestres,Cruzeiro,82,RCB,6500000.0,39000.0,25201.016301615186,54.755663554332166,Avoid (Overpaid)
Raphaelito Anjos,Grêmio,82,GK,14000000.0,32000.0,44422.12221917591,-27.96381982356888,Normal Market
Gelson Martins,Atlético Madrid,82,RM,29500000.0,59000.0,77045.37862162177,-23.42175344512821,Normal Market
Gonçalo Guedes,Valencia CF,82,LM,29000000.0,36000.0,76078.45409797481,-52.68042650598718,Target (Underpaid)
L. Torreira,Arsenal,82,LCM,25000000.0,98000.0,68177.28193955572,43.74289677151454,Avoid (Overpaid)
Malcom,FC Barcelona,82,RW,31500000.0,140000.0,80871.24279316196,73.11468844131285,Avoid (Overpaid)
Pau López,Real Betis,82,GK,21500000.0,21000.0,60988.32387715079,-65.56717964195828,Target (Underpaid)
L. Hernández,Atlético Madrid,82,LB,25500000.0,53000.0,69182.06925823749,-23.390553985649536,Normal Market
C. Lenglet,FC Barcelona,82,LCB,26000000.0,135000.0,70181.72340621173,92.35777271900287,Avoid (Overpaid)
A. Kramarić,TSG 1899 Hoffenheim,82,LCM,26000000.0,54000.0,70181.72340621173,-23.056890912398856,Normal Market
A. Robertson,Liverpool,82,LB,24500000.0,98000.0,67167.23161578942,45.90447997109728,Avoid (Overpaid)
